,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,72242031.93,33202934.70,9707795.15,65403885.16,5171095.67,2219391.66,998146.66,167401092.83,164171715.44,162613965.80,59912271.71,36668140.20,34636976.53,33412876.58,2463342.71,32767224.12,30713377.17,29221093.62,13812372.28,276975596.06,155908780.06,112698505.28,52457495.67,222745876.79,140041751.06,60407187.94,6155168.60,176269438.18,85472466.03,42710771.57,10744314.71,174119731.18,135501840.04,73559749.15,45469608.66,143137906.22,101455593.39,50205939.57,23717757.50,107460532.14,69778633.94,57335097.08,38051986.06,166338072.87,142264154.46,98802112.81,60141101.58,368768299.19,257320552.22,167759886.20,89744953.68,507971280.74,415350897.32,304096893.80,123700155.40,661407880.82,723165442.55,480634835.82,235841177.55,1062566368.33,777847234.61,528031540.76,298359860.57,980451600.29,688957575.63,461275118.21,230306082.76,803583535.09,519041289.93,309310505.99,120145591.72,609925319.23,456863179.96,302021885.15,616932107.93,276942328.78,340655395.22,125706677.29,293790373.59,115237778.02,318206321.60,257500215.21,179630705.35,0.0
2,营业收入,72242031.93,33202934.70,9707795.15,65403885.16,5171095.67,2219391.66,998146.66,167401092.83,164171715.44,162613965.80,59912271.71,36668140.20,34636976.53,33412876.58,2463342.71,32767224.12,30713377.17,29221093.62,13812372.28,276975596.06,155908780.06,112698505.28,52457495.67,222745876.79,140041751.06,60407187.94,6155168.60,176269438.18,85472466.03,42710771.57,10744314.71,174119731.18,135501840.04,73559749.15,45469608.66,143137906.22,101455593.39,50205939.57,23717757.50,107460532.14,69778633.94,57335097.08,38051986.06,166338072.87,142264154.46,98802112.81,60141101.58,368768299.19,257320552.22,167759886.20,89744953.68,502518647.17,410979912.27,301588783.97,122451844.97,655791133.58,713381338.82,471746157.26,232949578.87,1059877400.42,770354517.58,522258261.83,296801142.03,981192081.49,688799267.31,460965710.98,227573346.32,802147310.98,518329217.39,309082517.88,120095481.83,608200078.22,455289009.10,301657828.44,616088409.30,276633018.91,340696790.01,125530788.76,292322675.91,114135976.05,313504404.88,256067841.42,177313317.04,0.0
3,二、营业总成本,106882700.83,58088034.52,20469451.22,117672997.94,43286448.97,29887348.71,12312293.27,286681792.77,219413850.62,195394391.46,74240380.83,107132307.73,85635541.11,62717842.26,11549799.78,150498753.12,115485713.87,91171895.51,34485861.62,428764040.60,242421127.11,170766625.74,77637545.05,341247154.18,207938008.35,99512870.08,26269213.38,283691296.98,154595263.72,85967719.35,29328493.01,467541345.94,245158238.69,142028217.96,87634831.32,281456415.30,172179905.05,90637517.26,38279256.46,250438281.08,147989276.18,120507032.58,75986671.36,331607435.66,199138197.61,139580427.89,53101511.10,472267648.75,319230875.70,193064446.89,90609982.28,496611395.84,397168173.42,288968801.39,118239571.08,636552495.54,690317085.51,452283942.71,216733645.41,981238489.59,696900574.91,471621120.40,270324246.55,886718277.93,613400307.39,411363026.30,205898984.96,719030950.99,452295635.59,270480514.29,101491249.92,531454159.86,383903120.99,241938381.31,529900806.71,235262588.85,269907356.19,91979683.28,248807020.70,87176705.20,262776994.41,222797418.37,151705525.57,0.0
4,营业成本,69033272.19,32709752.82,9923692.20,61289740.60,7123412.69,3366084.93,1662746.28,164266140.64,162761292.00,160982517.69,60768794.95,34206813.99,33779108.22,32162891.88,3416698.48,34880684.83,31719467.85,30410188.39,13745669.44,295118485.89,167097334.10,120641627.66,55253914.52,238972247.95,148156715.13,58785256.11,7340447.79,173335286.56,83310445.96,40281844.30,8757110.30,263799905.81,180586300.67,95957116.26,63159275.05,160179569.99,109332284.67,49473223.98,21293657.24,161441827.29,104983128.84,93322411.34,69446885.66,180890515.64,121895504.93,88400653.01,32623724.57,355026107.97,244220296.96,154182607.98,66394795.64,394964291.79,328023894.75,241764857.62,94708483.31,545326788.19,608873459.73,393699105.20,182833810.31,860014524.45,608659563.94,411546034.42,234457212.97,781979948.93,545340085.54,363964536.43,180678129.02,643832860.34,396123286.50,231204819.50,84133163.74,460457385.48,330108100.80,204542283.76,475457425.81,212374101.34,229144094.16,77307909.39,206180784.76,70721275.23,215998451.39,177092172.22,117810344.27,0.0
5,营业税金及附加,972659.92,958601.47,451.87,2807579.73,1347550.57,1347026.24,2176.80,2611947.23,2530998.69,1265900.68,1281589.34,1553234.24,182598.48,118679.82,53052.41,272272.40,67657.23,45104.82,22552.41,96082.25,73529.84,45104.82,20812.50,193362.06,196995.88,107604.62,20812.50,393691.67,283417.58,215945.29,115192.79,505760.05,289046.38,158434.33,85562.18,548193.31,439380.38,364444.44,20812.50,436120.16,339001.23,334278.06,651281.38,1542015.45,1296135.35,1147720.16,510363.08,2146834.04,1664058.25,928252.57,374941.14,3262122.27,2483444.73,1395373.94,719563.65,2990265.34,4110411.31,3118209.12,1756975.39,5368081.67,4233281.48,2693988.96,1714848.13,5946626.51,4176884.90,2504662.51,1511622.64,4972954.05,3575784.97,2003202.37,515656.94,3958691.63,3988264.79,3523236.84,4662410.52,1854017.01,2904837.72,1188373.62,2982456.34,668969.98,3099010.06,1894967.31,2351753.05,0.0
6,销售费用,1027869.23,811778.63,339215.63,1234690.46,723017.00,490368.00,251843.00,1249904.70,971009.61,615123.25,254868.85,1478641.89,1197185.94,757401.44,303155.99,2164912.18,1264084.71,839118.76,590288.56,3232661.92,2007140.39,1420217.30,875788.36,4086982.95,3105165.02,2039983.17,1201476.60,7656406.83,4757301.37,2955332.71,1969254.40,12187826.29,9666909.76,6390826.79,4125180.03,11104510.20,6712832.43,3758235.21,1048632.11,6067773.15,4420881.41,3401870.17,2066791.75,12135791.93,9587960.14,6719956.14,1986995.99,15937803.39,12217342.80,7979151.09,2780576.90,15781060.61,10481742.17,6178306.46,2244274.91,12609928.86,10199040.39,6961288.73,3949266.91,18595054.92,13687338.19,10876223.06,8727140.18,16949310.40,8942453.35,5484663.76,3463432.26,9729971.41,5977814.63,4022165.92,1999446.43,15602699.05,11916294.08,7468612.17,11187984.03,5165346.73,12329976.48,4610599.37,11664707.98,3857795.54,12900061.63,9797212.28,6827207.42,0.0
7,管理费用,30711709.28,20318194.64,8789466.84,45337775.05,29049755.28,21465740.84,8590775.78,58543707.69,32561988.78,22802339.93,10115968.10,54825141.68,42649501.69,23772286.86,8823377.91,58276435.62,41434662.23,27290846.42,12205117.97,81078188.09,50545506.76,33873448.81,14190037.87,71656854.67,48378956.89,33420343.07,14729814.71,82288300.63,54931191.17,35191835.18,14607838.31,67378353.78,44670037.74,31383833.01,16496588.58,83574188.09,46553360.85,31769242.69,13403926.45,68489346.03,45289075.37,32399083.15,12586760.69,63903071.30,38518347.48,26622477.60,10574502.15,65431219.48,37983815.33,24862168.34,14206875.46,61293693.94,39295463.65,28639465.71,14999684.67,54736667.02,48439430.01,35071878.94,20996685.93,72136560.37,51007927.59,33466766.06,19479120.34,62525319.52,41455094.52,28660895.40,15487681.45,47843279.24,37331777.62,27080217.65,12046895.54,43589532.21,30936235.35,22150342.75,30147651.01,12470134.22,26630402.40,8379466.53,22365047.11,8190304.80,26147540.26,30544673.11,24578153.81,0.0
8,财务费用,5137190.21,3289706.96,1416624.68,6887649.30,5527589.29,3703004.56,1804751.41,7393253.45,5558640.89,3679102.50,1819159.59,8144284.51,6621647.61,4701083.09,2773845.54,30105147.14,23824782.58,15747706.52,7884733.24,30789005.58,23204930.18,15293541.31,7296991.80,11592059.37,8764424.97,5861432.65,2939161.78,15095748.92,11720125.67,7767479.90,3841597.21,15036959.36,9700987.78,7893051.21,3843225.48,13194412.74,10274317.81,6404642.03,3892228.16,18187089.68,14614787.84,10093773.24,5958953.20,36337398.18,28476431.90,17325803.17,7405925.31,22377030.44,21838679.07,14018651.10,6852793.14,21310227.23,16883628.12,10990797.66,5567564.54,20888846.13,18694744.07,13433460.72,7196906.87,25124268.18,19312463.71,13038107.90,5945924.93,19317072.57,13485789.08,10748268.20,4758119.59,12651885.95,9286971.87,6170108.85,2796087.27,7845851.49,6954225.97,4253905.79,8445335.34,3398989.55,-1101954.57,493334.37,5614024.51,3738359.65,4631931.07,3468393.45,138067.02,0.0
