,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990331,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,10289206911.17,7008376589.96,4018987622.80,1387543607.51,8821312533.20,4838954670.77,2277316619.44,766466912.59,7548771288.66,3637811804.07,2273487274.68,757706153.61,7645921649.99,3707535303.70,2010709996.90,1033246142.13,5864434715.18,2420813318.08,2004666533.97,779881774.65,5681863161.13,2993495424.80,1321128081.40,553620214.73,5293036561.09,1899624236.27,824575999.64,369296999.67,3673819067.59,699005273.26,373679815.07,194712767.60,2381698574.35,732044751.25,339707751.46,152298584.91,3018402426.70,788579340.27,473121563.88,141987129.68,2500147080.41,717577303.84,271401177.48,118848699.61,2610648391.04,802727914.79,647356758.28,409608657.24,1575267220.03,1007748897.19,632589433.39,293703069.72,1402505732.20,1155181001.85,748197418.04,398789315.58,2181887846.37,1579330825.43,963317773.02,466085639.43,2466351644.48,1859208231.59,1187283129.95,604266777.91,2129281340.71,1698834012.11,1077727940.98,437510462.09,1139022720.33,776117285.08,478702097.04,249451556.88,1017086576.56,455096037.09,769941910.79,267997676.93,565236458.77,154938394.25,278110602.37,215216055.46,139160530.23,0.0
2,营业收入,10289206911.17,7008376589.96,4018987622.80,1387543607.51,8821312533.20,4838954670.77,2277316619.44,766466912.59,7548771288.66,3637811804.07,2273487274.68,757706153.61,7645921649.99,3707535303.70,2010709996.90,1033246142.13,5864434715.18,2420813318.08,2004666533.97,779881774.65,5681863161.13,2993495424.80,1321128081.40,553620214.73,5293036561.09,1899624236.27,824575999.64,369296999.67,3673819067.59,699005273.26,373679815.07,194712767.60,2381698574.35,732044751.25,339707751.46,152298584.91,3018402426.70,788579340.27,473121563.88,141987129.68,2500147080.41,717577303.84,271401177.48,118848699.61,2610648391.04,802727914.79,647356758.28,409608657.24,1575267220.03,1007748897.19,632589433.39,293703069.72,1402505732.20,1155181001.85,748197418.04,398789315.58,2170304149.10,1573339724.34,959511067.05,464355061.89,2451380118.70,1844944635.27,1180179647.17,603723555.21,2119506730.10,1690666272.10,1072364898.70,436224111.99,1132521972.13,757745663.53,464652224.33,244762368.47,1002739562.61,447824299.05,761963023.11,263615488.76,569293471.34,154514049.77,277532718.19,214163696.14,139158457.58,0.0
3,二、营业总成本,9901200894.38,6728906836.07,3860444892.82,1288674256.44,8409372828.48,4588218386.96,2146558182.06,728282763.70,7263514701.47,3472729510.77,2187325871.18,721156095.55,7460243185.16,3637182302.14,1990497209.14,1012297910.44,5657558927.21,2342313384.08,1913107803.88,711463395.38,5320754506.98,2756208746.24,1214670515.86,491791684.44,4753129639.44,1706863642.91,774941947.78,341996339.70,3199086041.55,633664549.89,344675591.74,170255528.81,2079415845.37,653213493.77,312122804.04,132784273.98,2407358742.42,651945022.34,412063590.99,125249655.50,1923613125.18,596528923.15,231916524.61,100353391.22,2880789630.77,1344839962.39,1073207284.11,431930838.06,2020733294.21,1189350692.37,729633557.97,336762495.86,2293056097.28,1404581908.61,945696987.91,540881915.71,2316917828.81,1543670800.60,935790726.20,453694087.96,2438175380.20,1789947536.17,1134882349.70,569820207.57,1995377610.90,1590863362.33,1022721899.66,413261590.09,1020529352.16,674987530.80,402409251.58,214209744.90,868465292.63,364045717.39,601939211.36,198389389.16,420399929.18,122192679.67,233357257.85,180308767.51,122356695.72,0.0
4,营业成本,8121570915.29,5642486759.72,3217477541.52,991791474.59,7033610911.38,4141046149.77,1867606812.99,611932258.61,6469599450.78,3037278182.45,1935267210.00,618617700.13,6528985226.36,3142162236.48,1700753709.92,878047969.13,4695420337.43,1839990447.91,1572318907.05,574474897.20,4412051596.67,2187911894.38,914113304.89,378762156.75,3799642684.61,1290443003.30,592851216.28,269335974.69,2574212789.82,450249082.95,244282562.13,137062555.12,1734780821.86,496946199.53,240178785.46,101853496.69,1996370082.92,512708697.54,313326346.20,85982220.47,1596485121.92,493682496.90,174716204.76,83656402.74,2221285080.29,867271770.17,702389253.79,308735307.69,1523325367.71,1010047993.94,614268768.96,285888350.83,1553982125.92,1293373885.34,865339014.53,500256611.00,2087445536.96,1464532638.96,881945237.48,433425954.70,2279815090.27,1691389430.14,1079334864.63,539640102.31,1882937982.11,1518230083.71,978100754.59,396478169.48,954140723.48,638610378.08,379532296.69,205453973.52,828060391.53,344003779.85,564227881.13,182223411.54,395729380.70,116107247.28,221732004.00,170859328.78,116103459.93,0.0
5,营业税金及附加,646356364.27,333390250.34,158502856.36,64870537.50,454774789.34,186129490.31,121130777.52,67937441.01,420729300.72,205150109.20,119230822.30,43903009.60,563635371.73,254734532.69,144920823.70,80065849.81,541379912.14,249409989.48,197738853.65,79662784.25,542393158.14,297807670.51,150765030.53,52377584.19,601224226.54,205410886.87,75895018.57,29211508.20,342832541.51,57943935.20,31091344.93,14895912.67,193850296.79,58292359.98,23305498.74,10323796.69,220092296.34,53458367.17,32126522.37,9932041.30,233785131.89,47363816.02,18138304.72,7829449.24,94402907.36,11784104.73,25488495.36,16180571.69,40183126.98,2217795.06,1456809.91,646348.08,3330635.80,2448118.04,1787598.22,845420.75,4061431.32,2677734.80,1272657.69,453233.41,2981587.02,2520843.92,1647398.81,691863.65,3220850.52,2170594.32,1346195.46,822721.71,3216649.08,2410507.82,1611482.14,863906.74,2458702.05,1166264.18,1423066.83,648761.12,1382420.06,206576.18,1095960.78,865964.25,541060.56,0.0
6,销售费用,717686650.98,486099041.91,301199204.74,137358150.79,567397132.74,110403809.06,53753444.87,20818107.65,198257265.87,103855394.23,60067756.48,19599813.40,194602634.23,115828822.76,63950908.38,23504215.82,190971636.86,109518673.88,59045657.10,22298238.36,197901025.24,114432454.36,69025979.62,26664248.55,200514529.32,122744032.30,64401639.89,22160136.54,172553179.04,83504174.99,39821437.04,8262091.78,126138000.13,71194489.39,31942733.69,14861586.07,122311287.67,61150767.66,48229008.25,20988233.18,56556521.49,27157293.25,16729718.06,3697703.99,38973779.89,23299995.58,19785150.31,7016716.43,40956532.14,14034199.62,9449934.04,4155868.02,23702383.64,16248064.08,10891307.92,5009013.12,34378060.86,26100303.88,17116222.16,9319420.25,45935621.45,32427219.80,16606675.08,8216214.52,28712566.36,21276960.15,14039480.12,4940839.61,24045642.41,12347987.70,7423936.44,3208962.59,16468904.43,7296853.98,6374380.01,2797346.95,7436015.47,1687203.17,5046128.99,3024211.32,1887430.40,0.0
7,管理费用,318967481.46,225399453.54,161073994.46,79608065.81,267796053.29,116814071.58,74951565.05,38781048.09,143319280.50,103351939.94,62677640.36,30190771.09,146043916.04,111614851.89,72619501.32,34694020.50,152997770.26,104722376.47,63704330.92,27899256.54,142513508.10,98265121.78,61038000.05,27667649.06,121220354.22,89576535.79,55568177.32,22956679.64,90833562.04,35617795.29,21382228.16,7588980.01,54576958.23,30079129.98,19360360.58,8284000.58,43840670.15,26955169.56,18655007.94,8795294.08,37590490.26,19293619.05,12922209.94,6017971.75,178231919.82,148672174.34,105977109.52,42885220.86,105890365.22,63328508.80,37448705.05,11308107.57,69039621.31,27105937.91,16376740.38,7797432.12,79754185.70,20515384.13,14114554.88,6089096.05,35234825.20,18854432.93,12706204.86,6422399.45,26434884.96,15283515.02,10419731.59,4087864.41,21947544.60,11915724.06,8140573.76,3348119.98,12351272.02,8081524.66,20201009.06,10904678.21,13815904.33,3329896.70,3453997.62,3608056.24,3385883.74,0.0
8,财务费用,50552226.14,17200984.53,9589744.14,9518631.07,59906417.85,41196490.59,35434450.40,1597610.27,29765270.14,24570019.42,11983759.58,8928976.84,40764888.93,14143382.52,7294051.77,627616.06,70406614.18,16936549.03,11176746.04,5387321.08,19645896.55,14397110.71,8244286.22,5402425.46,-2666915.78,-6315142.82,-5371319.82,-2524827.83,3296640.70,3876777.85,5422236.22,1638074.01,-2999968.82,-1771959.51,-1193258.08,-557699.67,4029280.95,-545238.14,914751.43,771135.80,885480.01,-454970.94,-76581.74,-282641.63,260049872.73,215751547.83,138732965.11,57113021.39,258954103.85,99722194.95,67009340.01,34763821.36,167848056.62,65405903.24,51302326.86,26973438.72,111278613.97,29844738.83,21342053.99,4406383.55,74208256.26,44755609.38,24587206.32,14849627.64,54071326.95,33902209.13,18815737.90,6931994.88,17178792.59,9702933.14,5700962.55,1334782.07,9126022.60,3497294.72,4658000.33,1815191.34,2036208.62,861756.34,2029166.46,1951206.92,438861.09,0.0
