,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4700686140.83,3330448168.77,2279044337.77,1042284598.17,4181828889.36,375282766.77,238316102.60,95590044.00,526857527.83,324452764.06,209233910.66,80720900.72,391544815.94,264051005.56,184199369.11,70664853.28,473609595.71,402606042.27,289040288.73,135248734.53,607685820.17,451858031.41,327757882.11,145604472.56,684358581.72,487436727.31,306490150.49,134348889.43,657015132.83,458727229.84,312064994.82,125970703.36,615304171.50,404919990.41,239660514.73,94181958.17,490718152.96,357413804.57,201677979.80,71728682.29,507018620.97,334726410.08,225713867.34,91242629.40,602722678.60,411535733.64,268614034.09,76733565.73,495160239.37,310668514.28,183180496.73,72428776.77,369622905.70,212065203.18,133504292.95,56314356.98,292435362.57,213140623.59,137665506.13,58634830.45,280400568.13,186958380.42,120597928.28,44282968.03,193242214.29,125818968.70,68177827.09,152977021.60,117531450.09,80090752.29,26017768.94,143515707.29,72733830.26,139801511.72,67916070.19,128656897.70,92912128.79,117356557.60,0.0
2,营业收入,4700686140.83,3330448168.77,2279044337.77,1042284598.17,4181828889.36,375282766.77,238316102.60,95590044.00,526857527.83,324452764.06,209233910.66,80720900.72,391544815.94,264051005.56,184199369.11,70664853.28,473609595.71,402606042.27,289040288.73,135248734.53,607685820.17,451858031.41,327757882.11,145604472.56,684358581.72,487436727.31,306490150.49,134348889.43,657015132.83,458727229.84,312064994.82,125970703.36,615304171.50,404919990.41,239660514.73,94181958.17,490718152.96,357413804.57,201677979.80,71728682.29,507018620.97,334726410.08,225713867.34,91242629.40,602722678.60,411535733.64,268614034.09,76733565.73,495160239.37,310668514.28,183180496.73,72428776.77,368267754.23,211348103.30,133102678.68,56268797.99,291405425.18,212709724.64,137271628.99,58433100.91,280395176.83,186335218.67,120118950.36,44025982.50,193242534.72,125820341.85,68203678.13,152177318.76,116929607.34,79936756.00,25478478.70,142808109.76,72529669.78,138653147.05,66745218.70,128380557.49,92912128.79,117356557.60,0.0
3,二、营业总成本,4406260150.48,3078067971.55,2078164858.00,975913044.29,3889931983.14,338088501.79,215514753.69,89675773.25,473798907.35,302077377.36,191812589.73,75860114.95,362361149.88,251725997.21,172417023.32,70235957.94,434706983.21,367502197.56,256755761.54,119306229.05,514552902.00,391761102.30,283570701.41,128144733.75,597512320.53,432136805.11,267887657.77,117169325.74,578678431.40,404747033.30,272258877.14,113611859.17,550956294.39,363201433.00,215754311.03,87975332.68,434282153.11,323602512.56,186130943.63,66269531.63,448251237.23,300379112.44,205836426.93,83836599.26,533045198.63,361004941.91,239742696.04,69599576.37,452541193.64,284017825.24,170146723.79,67417614.21,359019849.87,198217087.66,129145628.76,51763480.46,281706153.69,202155834.60,130460717.00,53192548.38,308949416.87,178416446.82,111037710.94,40210202.37,162777335.41,106955386.00,57968387.64,138696063.28,102554326.43,67421041.41,22526856.67,121531279.57,57472334.24,119880485.76,59900331.80,108070223.12,74269195.07,103380894.19,0.0
4,营业成本,3356248307.09,2378720784.43,1604132114.55,745986844.02,2882929928.79,263986864.22,169541874.03,72388577.97,372695737.23,242566900.48,153364032.39,61674424.69,283026127.67,199439180.07,139131970.14,56148299.59,346595629.74,297061420.27,207349199.20,97797186.08,408907047.53,313082358.05,226491531.79,103877955.92,486392868.38,361582855.96,221855305.55,95325747.92,470516209.91,330805534.60,227573801.12,92857519.10,454487380.78,300006659.79,173049387.80,70682693.02,354093763.99,264199298.40,146292125.73,51313386.63,358072704.57,240578500.01,163731528.19,67448263.35,447801321.49,310044972.63,208641722.72,56784304.44,369737117.53,247162086.38,147098480.41,57699794.46,282002974.52,167494686.52,106269054.63,42052811.36,238467800.47,175275733.35,112947615.79,44789606.94,233081002.60,149842911.67,92517157.75,31715549.34,131967641.36,92139100.86,50844312.10,115972553.29,89117124.68,60620321.36,19415630.32,103504354.13,48731836.81,102653036.47,51712743.21,97517031.56,66460567.97,92417946.14,0.0
5,营业税金及附加,57737965.18,36773367.42,26311676.59,11727912.43,59019667.08,5679345.31,4501672.29,735585.47,9289297.79,5137363.25,3946957.38,895257.50,7687016.52,2368984.31,1930919.46,672561.39,4545508.27,4008042.24,2974746.65,1420071.38,4964864.25,3219490.59,2618991.70,651778.36,6666986.25,4340345.99,3276848.98,1272077.39,8986535.00,6400315.13,3884332.68,2283280.91,9264488.28,5508504.68,3151405.50,2008344.14,6007115.21,3866409.40,2229719.83,741193.01,6380006.27,4112810.19,2867980.36,1265021.06,6523476.83,4003758.85,2294050.43,782345.08,4256531.26,1756363.24,405629.68,256756.54,4136111.96,1087830.44,771158.62,177457.95,1372290.34,604768.08,206074.44,53236.06,1045063.23,740357.96,392227.22,104607.12,749760.94,155422.14,127120.52,826016.77,521874.37,268466.25,124660.72,736324.94,332951.64,175377.29,167988.74,311898.69,420759.88,169634.80,0.0
6,销售费用,195897354.51,134950877.61,88861027.05,41247691.43,177458526.68,17555399.84,10906390.75,4659522.48,24649476.35,15505785.32,9792521.43,4347959.21,17433422.91,11658836.44,8017200.00,3104384.46,19965020.63,14989758.56,10052665.96,4256025.76,29858331.98,22262461.07,15108903.01,6366138.08,28018336.97,18332825.16,12262254.90,6072690.17,24549667.08,16042487.04,10799172.48,4329018.07,22209912.54,14689449.54,10099906.81,4658486.52,18923795.77,13998909.68,9619904.91,3591984.90,19452133.96,12448021.18,7855570.27,3400024.89,20345478.76,11721265.57,6498575.39,2508508.44,13920393.71,10589622.27,7118432.79,3200129.40,11562706.06,9087319.86,5493702.64,2184848.48,12216871.07,8010284.97,5084117.79,2303811.50,11358991.43,8053354.27,5234830.65,2708497.50,8004638.79,5127388.94,2925992.60,8871878.74,5399986.42,3179538.07,1450596.92,7360689.84,4533525.15,6570997.96,3360565.00,2393589.81,392931.35,1485053.18,0.0
7,管理费用,437291553.28,280588343.61,189247170.31,92787981.59,445482639.39,36446472.03,30393874.12,11876695.32,63813603.77,38158816.57,22972040.20,10055487.66,53605521.14,35369874.45,21901283.69,9795255.16,66458262.50,49993977.26,34854847.41,14663944.57,77076100.79,53244179.23,37671895.10,15793791.54,79031825.18,47556092.58,29405004.16,14082781.28,75705026.31,50582889.79,28650458.10,12156202.95,68715112.24,42100414.81,27902386.12,11448617.37,55985441.80,38427697.74,25564816.93,9913601.95,63810983.40,43452679.51,29144676.13,10752135.44,58886002.51,32811596.43,19443196.21,9827163.05,48618840.19,23516387.44,15536221.57,6168212.17,60185778.50,19239898.93,15967061.99,6779980.75,26438109.00,16019745.44,10738456.72,5148911.54,59911719.80,17520308.47,11597604.21,5159441.95,19332535.71,8833516.22,3638442.09,10172561.06,5101988.95,2089168.54,909961.20,7276595.00,5781558.81,7881639.06,3546785.27,6459542.16,5297539.44,7555135.81,0.0
8,财务费用,5837625.43,5013753.43,4212097.53,2843209.60,15098344.21,-386525.81,-111818.12,-19700.17,-5279190.64,-807117.77,-705048.95,-168112.75,-5978125.45,-1412841.99,-1218802.70,-216401.09,-9820361.22,-2752597.12,-2299683.63,-500972.77,-9466956.19,-3630833.91,-2654311.77,-648570.92,-8513451.80,-4501285.37,-2780021.63,-1352700.36,-5701381.40,-3626784.25,-1629313.98,-939486.26,-5327450.77,-1978712.54,-1658330.67,-752597.91,-1761710.41,-1122561.37,-597845.59,-303758.42,-522048.60,-714802.32,-395639.14,-332297.17,-1552659.44,-1271480.07,-523764.74,-302744.64,-1376982.60,-1237167.72,-529414.47,92721.64,1132278.83,1307351.91,644650.88,568381.92,3211082.81,2245302.76,1484452.26,896982.34,3552639.81,2259514.45,1295891.11,522106.46,2722758.61,699957.84,432520.33,2853053.42,2413352.01,1263547.19,626007.51,2653315.66,-1907538.17,2287996.71,1112249.58,1388160.90,1697396.43,1753124.26,0.0
9,研发费用,353247344.99,242020845.05,165400771.97,68335026.02,310772306.19,17311368.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,12984379.20,-829429.20,-2504422.15,282760.62,35092.18,8629982.85,1515629.51,2442087.28,-944901.36,6587187.09,4301963.93,2654452.73,731858.43,6962923.29,4201596.35,3823985.95,1669974.03,3213513.64,3583447.27,4333691.58,2103640.77,5915755.55,4825970.79,3868265.81,1768729.34,4622374.50,4542590.99,2980426.74,2925324.40,1606851.32,2875116.72,3209555.47,-70210.46,1033746.75,4232758.71,3022221.82,1013123.56,1057457.63,501903.87,2632311.12,1303451.69,1041578.48,3694828.50,3388916.03,0,17385293.55,2230533.63,517373.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311438.27,0,0,0,0,0.0
11,公允价值变动收益,3832287.96,1708027.94,2267291.74,2260681.92,-942848.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
