,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,5426542679.05,3829549380.12,1582785483.20,6226964050.48,5316616371.65,3322001048.21,1372279913.96,5203559760.10,3973875994.31,2210788041.40,933310611.04,1371133536.69,533895829.89,401390865.06,143373563.74,1098154269.97,665790088.14,544801234.17,174705663.24,1514500707.63,708017300.31,500049571.85,233982859.34,1374699725.91,938739229.58,377087819.10,119852393.81,749747537.91,289309242.28,204605671.88,75013656.83,399506562.16,249765856.48,126452998.05,58976251.85,366158717.03,253661362.88,169603953.44,92473490.43,466439854.27,338531103.83,214777044.36,103210499.50,542031739.11,371634583.72,242530211.17,101252467.32,511595074.94,334849685.20,213016438.51,82883278.35,490235760.85,310108874.69,196876409.41,72150888.08,577300109.51,399959776.74,254432897.79,126078231.44,619632712.27,411537659.15,255276107.07,109384474.83,362873282.02,250045265.95,151285831.76,59329188.16,320293613.60,222534796.84,136582403.05,224134096.65,133089116.97,0.0
2,营业收入,5426542679.05,3829549380.12,1582785483.20,6226964050.48,5316616371.65,3322001048.21,1372279913.96,5203559760.10,3973875994.31,2210788041.40,933310611.04,1371133536.69,533895829.89,401390865.06,143373563.74,1098154269.97,665790088.14,544801234.17,174705663.24,1514500707.63,708017300.31,500049571.85,233982859.34,1374699725.91,938739229.58,377087819.10,119852393.81,749747537.91,289309242.28,204605671.88,75013656.83,399506562.16,249765856.48,126452998.05,58976251.85,366158717.03,253661362.88,169603953.44,92473490.43,466439854.27,338531103.83,214777044.36,103210499.50,542031739.11,371634583.72,242530211.17,101252467.32,511595074.94,334849685.20,213016438.51,82883278.35,490235760.85,310108874.69,196876409.41,72150888.08,576880894.28,399673924.19,254279417.85,126078231.44,619632712.27,411537659.15,255276107.07,109384474.83,362867866.43,250039967.54,151280533.35,59328933.02,320231196.36,222470188.60,136549887.26,224042877.39,133088430.14,0.0
3,二、营业总成本,5097376643.95,3608032282.69,1543428013.05,5898747075.34,4925606252.65,3101675158.27,1277552815.81,4768979684.82,3472118225.15,2026292145.90,886744080.44,1479494738.78,609611469.88,423901537.09,157258629.14,1063851095.28,633540029.15,519197028.64,156608189.87,1285936914.61,663349306.04,482844556.74,225585490.71,1203959567.91,829865948.19,346527231.15,109135412.50,569486601.17,370026169.25,265978914.62,118397213.96,585807341.51,293868713.54,156145666.65,74381756.57,460419035.13,291249942.65,194179309.85,106539593.63,457905061.94,321651283.31,206275851.26,102803159.20,515665254.14,334714523.32,223379849.31,96400072.25,484866935.92,304092299.78,202482888.53,78725734.14,443733593.17,271158034.46,172614988.44,66037361.46,525599982.22,370280461.97,233693397.59,116763861.38,572363867.38,385783606.92,239774993.61,104956351.10,329038907.71,225583034.30,137428678.57,55230862.57,289710891.93,199720985.89,123817419.96,202729330.25,122261682.21,0.0
4,营业成本,4682191747.37,3356529019.10,1404938402.53,5310303236.73,4545909229.59,2848329449.14,1180259029.84,4235660923.55,3183121195.37,1857660754.80,809021751.72,1308221429.66,492592060.89,365419177.87,126731228.82,940743885.55,573286013.31,458833506.03,127551530.69,1174081075.68,598913962.23,440303425.31,201881235.57,1145644869.45,789771100.03,322056114.79,98308673.67,487766644.41,263850279.29,187386139.15,68929304.81,377429978.44,228972023.05,114929312.52,53631990.43,337779919.11,230065345.86,153894848.82,85857234.54,381386485.43,260377745.48,166511762.07,82360493.73,408904172.70,268939183.31,184021393.28,77926383.97,406013103.69,249162655.45,166970382.34,64233744.41,371901679.05,223567601.43,142878811.60,51416871.56,465338696.92,329070683.62,207741488.09,105282313.06,521053544.57,351810494.11,217981588.67,96035069.11,291886023.69,201536094.59,123959226.92,49185803.42,265146017.98,183626257.10,113746338.98,191860472.83,116851439.80,0.0
5,营业税金及附加,16120781.73,11858572.49,6062530.40,22589380.59,15761190.88,11229697.70,6094121.87,19095106.61,13046705.18,3752049.25,8864799.21,2611762.36,252749.25,182300.82,121004.13,7015832.52,4907136.64,4795131.62,2434685.57,17039373.63,11150869.32,7288981.83,5836957.33,18232386.93,7133339.96,5537676.97,3774066.64,64217746.27,819485.13,472048.14,118167.17,1735793.41,599491.53,340060.59,179670.45,1172186.35,708909.51,402826.87,166139.05,3728528.12,2965335.73,1989788.44,872483.79,6782501.35,4310477.61,2507257.87,1013238.69,4312528.69,3270945.50,2046030.87,629159.25,4934226.25,3204448.42,2430105.17,884434.19,4638771.16,2601813.22,1608972.41,647516.00,3580346.24,1813953.77,1107658.19,361689.39,2680795.01,1913559.38,1132915.86,359879.95,2527674.91,1961546.03,1154561.19,1264432.10,504361.41,0.0
6,销售费用,58845742.32,38762600.99,16828492.71,71066030.71,54669202.34,35085986.24,21890735.03,58165493.34,45469211.81,28634056.63,12933768.76,14474239.57,12079301.99,8902320.99,3714257.23,12495379.84,8461462.11,4944223.43,3082064.30,15158241.60,9760194.53,5124115.47,2080823.61,7800179.14,5179302.07,3416721.04,1608743.26,6979968.71,13456844.72,7861729.46,3090123.46,18506799.10,10051799.49,5876459.89,2698608.31,16015965.96,10025128.04,6767127.35,3255717.22,16206842.03,10359960.80,5998883.98,2932831.13,15881428.06,11763150.88,6878518.38,3613663.89,14069076.10,11186322.89,7684657.46,4488215.12,19226964.97,13533948.52,7512567.42,3618294.28,14878746.75,10634814.94,6714271.82,3183654.27,15426659.05,11396267.75,7242474.89,2757667.27,8120488.28,5355404.51,3513355.90,1923702.64,7021776.25,4540347.33,2728275.63,3984189.55,1816459.54,0.0
7,管理费用,115386285.11,70275930.44,33467760.81,201003878.01,106524042.15,147699755.92,49093153.77,287465395.56,168916632.03,112691818.42,49024912.56,79767964.78,46788285.06,26373126.73,13088658.85,56932120.24,35160304.43,21727771.61,10461999.44,43211016.53,28109480.49,17563507.30,8579688.18,26572773.87,19880545.23,12934668.76,5458234.75,19295355.52,33564005.20,19818793.65,8720111.32,54498579.60,28509883.73,18379684.70,9883838.56,44723203.76,28967722.78,19028923.86,10871684.89,44190984.05,27355788.64,17377786.62,8975901.40,41624205.68,25804899.38,16842559.14,8456918.43,28924002.88,23196597.68,11930127.11,5198471.31,25562944.37,18912543.20,11817297.83,6416647.03,27908118.94,18224151.54,12049277.30,5472433.54,24497007.27,15312215.57,10170516.39,4045683.05,21593297.42,13251998.14,6938400.21,2949722.50,12546582.03,7912820.79,5088267.65,4803633.11,2525092.24,0.0
8,财务费用,108661015.28,71099345.29,27783793.37,127751516.09,92565740.69,59624575.13,26275955.49,121810770.16,87695669.13,48930271.54,23143918.87,38430568.05,28798617.79,18527606.37,8837948.62,24568665.55,16183140.53,9566784.63,5727172.30,14493109.53,10543466.80,6400441.83,3022367.34,2305320.02,1831045.65,-163108.05,-1244274.13,-5969356.56,26190131.70,18130288.93,9139455.64,34921089.49,25735515.74,16620148.95,7987648.82,28690472.88,21482836.46,14085582.95,6388817.93,10684055.41,20597177.66,14397630.15,7661862.26,31105340.88,23899094.40,13130120.64,5389867.27,23760414.13,15753078.81,10456812.04,4176144.05,16784609.34,11939492.89,7674411.54,3701114.40,12835648.45,9748998.65,5579387.97,2177944.51,7806310.25,5450675.72,3272755.47,1756242.28,4758303.31,3525977.68,1884779.68,811754.06,2468840.76,1680014.64,1099976.51,816602.66,564329.22,0.0
