,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,17179710167.61,10934163713.05,3751298070.42,28540370796.48,17159948784.59,10557607120.86,3843922902.54,24197908118.35,7161987310.20,4175965380.52,1420791139.96,11415282981.64,6635333030.35,3774933159.14,1398827803.77,9678013508.58,4579825461.99,2799093163.04,1175143374.84,8907001875.57,5238320204.31,3639757208.23,1629818525.76,9575634913.61,3775544740.77,2567937961.19,1096977960.69,6027929857.86,3432998733.00,2137745983.17,772541621.70,4660016950.72,2833630198.40,1429567312.28,513533627.65,2482090424.80,1650846834.51,995334214.07,376517464.33,1778692046.81,1213609525.35,603522952.92,215589827.79,1107303828.76,756573350.98,458438424.75,185665110.45,1081527108.63,674699352.93,414402970.82,142286553.65,896659993.50,538465865.83,340969082.38,137728530.08,749490297.83,466838807.58,310399290.81,112053090.81,474210296.65,297923913.77,201318052.86,77055929.20,372509276.14,248756881.91,166091364.00,35138199.60,348657057.83,247098673.93,284948575.81,238831092.66,0.0
2,营业收入,17179710167.61,10934163713.05,3751298070.42,28540370796.48,17159948784.59,10557607120.86,3843922902.54,24197908118.35,7161987310.20,4175965380.52,1420791139.96,11415282981.64,6635333030.35,3774933159.14,1398827803.77,9678013508.58,4579825461.99,2799093163.04,1175143374.84,8907001875.57,5238320204.31,3639757208.23,1629818525.76,9575634913.61,3775544740.77,2567937961.19,1096977960.69,6027929857.86,3432998733.00,2137745983.17,772541621.70,4660016950.72,2833630198.40,1429567312.28,513533627.65,2482090424.80,1650846834.51,995334214.07,376517464.33,1778692046.81,1213609525.35,603522952.92,215589827.79,1107303828.76,756573350.98,458438424.75,185665110.45,1081527108.63,674699352.93,414402970.82,142286553.65,895707662.87,538099413.00,340156029.75,136972400.78,749244691.80,466845520.57,310415816.36,112074616.36,474314296.71,297923913.77,201318052.86,77055929.20,372509276.14,248698842.39,166052214.48,35099050.08,348526435.67,247010554.27,284832113.61,237526395.10,0.0
3,二、营业总成本,14844062375.12,9649815854.18,3740442805.66,24251179787.00,14706485339.55,9127988826.18,3786267459.29,20616443353.34,6353251524.88,3884238411.61,1435493481.87,10033022410.33,5913551948.70,3516024140.48,1411590923.83,8399878768.07,4317108328.11,2810681378.59,1200012364.82,7658780084.84,4629313550.18,3115410768.56,1446760752.79,8088103862.26,3248789886.62,2246958489.61,1026335924.60,5034183201.82,2966383064.66,1828118688.38,727931330.93,3831184229.58,2413068469.59,1178657804.43,475322939.15,2068654917.40,1431876088.29,852840971.84,354987020.85,1580525125.21,1070569159.75,551605582.24,214431923.42,1026126164.57,703041882.76,426142017.12,182622799.80,968469222.64,635664013.49,393815016.14,142421046.99,773418684.74,485168481.64,303154962.54,132929995.43,650491538.44,411469779.73,271014932.66,107201164.79,393861050.92,252732717.38,172573546.26,72850722.75,320680110.73,220790914.36,146388500.50,43802872.12,314474827.49,221436819.37,254128855.92,221146114.71,0.0
4,营业成本,12211982798.87,7925617403.46,2847008814.77,20337155747.85,12404898060.40,7652028442.62,2890571820.09,16935622187.78,5473433505.90,3346483114.90,1201011797.11,8815160560.81,5111031691.00,3013374037.34,1174128295.60,7239908132.33,3606683971.40,2343803760.37,974984418.39,6484371482.68,3883423664.30,2626036546.88,1184659500.00,6981762209.87,2712029356.25,1916671817.63,851657748.91,4203950831.19,2429084253.84,1491094931.36,573220945.27,3197033884.03,1991852136.76,952373318.11,372850557.36,1655581633.64,1153585901.22,670334738.77,268043287.93,1233343612.80,831081566.52,424202526.14,151415470.95,779001174.43,523766582.76,308705561.18,127879135.36,770246387.92,491307701.03,300655640.02,105650703.96,616874722.30,373540342.26,234297119.37,100696163.01,507606589.57,316863091.42,210729317.48,78635641.71,302402594.92,192215975.30,133118979.83,53853525.81,248486862.24,172819318.11,114328398.02,29829944.41,246162972.83,177006877.08,205054617.15,161682638.06,0.0
5,营业税金及附加,96184629.12,64587322.83,29442689.32,260031435.28,119041865.41,68218279.97,26779583.44,294553102.45,48403906.67,21156849.59,6457735.09,68335691.30,34856575.30,23082577.79,5679509.86,74841862.85,28066197.81,16679447.98,3646793.27,65343071.92,32122236.35,21629910.38,6476544.39,83573785.88,29057731.01,19250375.63,4656745.03,49843395.82,22911008.47,11148841.77,2827092.75,51932623.19,20708190.40,9148663.19,2251396.25,23769071.32,7652992.20,4034053.56,1098542.52,16283204.61,7337063.56,1731063.96,838308.34,10747967.42,3218957.41,1628242.09,386098.87,10862890.11,4142397.20,2685956.91,537131.08,8549672.00,3235703.21,1457529.14,411999.81,7318299.45,3764915.75,2323611.31,698292.54,4458063.75,1666885.05,874048.05,337815.02,4254657.60,2178153.87,1576637.81,4568.81,2625453.70,1537015.55,2708031.25,3040130.64,0.0
6,销售费用,1046600538.91,695153816.42,367627574.11,1504033767.18,973597392.25,625756557.95,336757819.37,1276768047.34,305577403.39,210609779.06,99206314.66,467262457.02,277712539.95,188357218.90,97010456.09,402280498.72,250996674.13,169934779.97,93259872.94,363582042.40,233776261.91,155412384.35,83525207.73,363979755.01,167828201.71,108826432.92,56749976.67,282796813.93,170223649.40,103810295.35,44941748.51,212262666.44,123682071.60,68057421.62,29995448.03,134779688.68,85585370.15,52744840.61,23220681.42,112455587.25,79829626.33,36060471.15,18933440.36,77685925.37,52909745.11,34285974.14,16515660.23,58816573.91,42270694.37,27625404.42,13591568.88,45320504.11,31215247.45,19121897.29,11375264.92,40835388.36,24883172.67,16748052.62,11026036.59,22989971.51,14638926.53,8993419.69,6150134.72,18255651.74,12617571.42,7781331.02,5594173.79,19370508.48,15979658.63,14343223.68,15222599.20,0.0
7,管理费用,499634203.05,325643393.77,163722402.90,638571465.30,427270025.98,903199148.75,431880042.49,1933814970.74,437358670.78,277982800.10,142618618.43,669218045.06,412112596.29,268111257.01,130404957.70,619476859.17,389477411.29,259866530.03,121099526.88,576984033.51,342766704.06,223881671.75,130715340.00,494415573.01,227045251.95,136032981.47,86825009.05,401547950.80,242805562.61,157553263.65,81040836.51,303947433.09,208554249.52,114481598.50,60651116.32,218165458.09,149792025.15,108870736.41,58715581.86,202744842.29,134141176.15,81346823.21,42683742.24,157557853.52,113035242.06,76348467.27,36976606.49,123725074.83,91072282.12,59331776.65,22476355.29,111855445.26,81717767.99,52562533.41,20825827.65,102099989.36,70389092.39,44299391.50,18055139.88,72377634.75,49330207.46,32255967.40,12953669.75,50259580.30,33450199.16,22781689.55,8361479.18,46012806.82,26676367.47,31880450.90,38995671.24,0.0
8,财务费用,-27337665.56,8499664.15,21395148.45,-89027738.94,-120075091.47,-49349966.81,24733766.35,92986517.54,-20700049.95,-13822287.77,-7343619.68,-21657971.04,-18648367.54,-14138495.71,-7434812.81,-15471772.82,-6661890.88,-3231304.11,-3098679.40,10073985.25,6276693.05,3170896.76,874634.50,8099549.45,-3148287.55,-4389467.22,-2203238.05,-3253912.80,6119622.85,3573586.96,2849989.18,-7200232.22,756060.09,-2630153.85,-1979957.01,2266470.09,2391000.45,343008.54,-660448.64,-1388725.13,-2303783.43,-880411.06,-187678.63,-9555620.11,-2512819.26,-2852253.52,-565936.31,-6461783.15,-3027473.00,-2975732.97,-1067361.50,-9181658.93,-4540579.27,-4284116.67,-379259.96,-7368728.30,-4430492.50,-3085440.25,-1213945.93,-8367214.01,-5119276.96,-2668868.71,-444422.55,-576641.15,-274328.20,-79555.90,12705.93,303085.66,236900.64,142532.94,2205075.57,0.0
