,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,15490731323.12,9542408913.78,3923292095.96,20105346229.71,15376673430.36,8213567779.12,3408651875.95,16756853624.55,12571150776.14,7083788818.97,2838450619.55,9889835074.24,6889516257.52,3672613255.67,992238302.40,10555449940.06,9201713654.79,6053828483.65,2402328538.20,20636340515.29,16661289692.48,10812775183.40,4652369830.86,23195895498.78,18394935893.08,12025469585.39,5179269179.60,26586243664.91,21504919078.68,14141598898.94,5821872051.56,27951197018.94,22104365106.38,14024533743.70,6694869633.12,23666002645.53,18074343093.28,11388056043.99,5151237974.35,16452572767.51,12147397088.74,7518474541.03,3267147458.58,20035532516.18,16785068806.61,10416347524.10,4433561518.69,12790755996.69,9371300941.83,5967855666.52,2667866457.58,8756132772.95,6201287474.15,3742717930.63,1524406814.66,7835868892.72,5763581907.64,3340618384.31,1515163374.51,6562989006.98,5032293952.59,3213759373.72,1193891567.95,4771005339.17,3600345483.18,2164061296.91,821629992.07,3192760579.78,2569886403.74,1480406755.00,3093675793.31,1710608499.02,2619186034.55,1607259510.06,1781580032.47,0.0
2,营业收入,15490731323.12,9542408913.78,3923292095.96,20105346229.71,15376673430.36,8213567779.12,3408651875.95,16756853624.55,12571150776.14,7083788818.97,2838450619.55,9889835074.24,6889516257.52,3672613255.67,992238302.40,10555449940.06,9201713654.79,6053828483.65,2402328538.20,20636340515.29,16661289692.48,10812775183.40,4652369830.86,23195895498.78,18394935893.08,12025469585.39,5179269179.60,26586243664.91,21504919078.68,14141598898.94,5821872051.56,27951197018.94,22104365106.38,14024533743.70,6694869633.12,23666002645.53,18074343093.28,11388056043.99,5151237974.35,16452572767.51,12147397088.74,7518474541.03,3267147458.58,20035532516.18,16785068806.61,10416347524.10,4433561518.69,12790755996.69,9371300941.83,5967855666.52,2667866457.58,8737181488.70,6187569180.93,3735162920.59,1521208317.81,7813419397.34,5742421318.15,3325197359.08,1507682841.60,6537792271.99,5014758227.29,3203855824.35,1189771369.16,4756536882.66,3590810495.76,2156803242.75,819333510.02,3182934669.50,2565569801.86,1478351270.77,3088649365.30,1708847951.54,2618149111.43,1607259510.06,1781580032.47,0.0
3,二、营业总成本,15236687797.07,9414237240.98,4113413430.27,19267601832.17,14687428754.36,8002593693.21,3266510356.23,15655533809.69,11805070479.33,6784724567.31,2567451998.18,10206936580.34,7467204772.28,3991543073.50,1440331129.70,13064518978.38,10974389620.18,6907605339.85,2823768478.25,22734243269.82,17934468956.85,11563946982.56,4838227157.99,23113253771.04,18235038814.65,11934873440.51,5095752779.46,26447631435.02,21461384168.55,13956393894.24,5800892610.96,27443320759.45,21461155892.65,13567643249.09,6498196055.61,23046208661.84,17508403232.13,10973568423.76,4952431655.92,16479029709.01,12201421828.17,7708381118.18,3334435657.91,19848087020.42,16190539555.90,9929128628.02,4290063597.79,12360185497.30,9068256036.40,5807275806.43,2613380736.72,8584991962.22,6070864832.02,3678934974.03,1570711253.76,7548536579.14,5442350937.49,3076706460.72,1395290184.45,6022351677.57,4598906457.20,2910080122.25,1024162304.99,4348928249.77,3340614819.77,2014631169.95,791261245.63,3006006919.21,2404882174.50,1399464448.47,2846816551.52,1516821448.45,2438424240.40,1589777464.10,1772548656.47,0.0
4,营业成本,13998227261.07,8668237508.71,3782898535.18,17536302692.37,13361005657.74,7301243325.76,3002426458.23,14401978187.25,10763522270.58,6094892150.45,2347252458.55,8891536749.65,6419187197.35,3277290346.52,1062245420.56,11586502597.45,9960415770.68,6213076409.75,2471066711.15,20327099523.73,16396685975.82,10577297893.20,4398313552.39,21335984124.51,16899484288.15,11005679081.68,4679393951.79,24715904646.98,20170501811.74,13202189386.78,5415852667.65,25635877468.86,20193357924.64,12854555860.49,6166032565.22,21354631695.61,16375819745.92,10225456142.86,4599210983.86,15188627770.78,11313937582.75,7167151542.09,3318893731.75,18148615838.74,15096043516.10,9206520466.41,4009372095.87,11267271361.31,8160737567.45,5259514902.98,2399677499.14,7869612932.20,5548478000.26,3375210270.19,1431035810.08,6970403998.39,5048107684.77,2844352092.72,1289635496.82,5611819434.90,4298483435.60,2732501426.90,949261917.36,3982903679.97,3047091390.27,1859036817.23,731835958.48,2795883549.63,2244841572.38,1301236516.68,2650888241.02,1447633679.60,2205105386.33,1417884490.89,1634253573.66,0.0
5,营业税金及附加,44184536.70,20611156.98,8521554.49,112888065.03,89106465.85,32655033.63,12393816.55,77924625.67,59006840.63,29422580.53,16057660.47,63642078.29,19860958.64,10466706.26,2642690.80,27980298.70,23173121.94,11313806.12,2681577.80,31559810.84,27117472.20,12378222.13,3444785.29,64569763.27,60882637.32,29657317.66,317830.99,48054922.61,36957446.65,9329137.48,1455.33,56978646.43,54274691.56,38371924.49,19006929.18,45810958.77,40608461.00,19404836.60,11841217.54,27861911.23,20452432.02,16232495.15,6544678.08,44056781.33,37853046.92,34401261.23,17065038.98,39149468.94,30218430.78,28365577.06,9108278.74,14967294.28,5931835.15,805290.76,900.09,30888218.28,22760501.21,11355470.02,5699969.45,28775204.13,25229337.97,15048559.52,3489865.07,27342727.23,22282173.23,12616917.37,2044973.92,10052632.40,7686788.83,664048.99,8958824.17,3507807.52,19123710.25,13116617.67,13021938.49,0.0
6,销售费用,711630976.71,437769108.72,204847236.77,1009807069.37,727834594.46,343728893.57,129199079.06,537508270.13,385715449.22,248677979.38,114916701.65,432982999.77,280096175.10,148483108.74,39871019.06,543637212.96,462008334.16,338094669.98,183160110.74,1187441177.94,828126241.03,532450578.50,252838702.07,882979462.14,574184607.88,408776729.11,206672728.13,1053540570.15,791872547.05,486372045.22,253425613.37,805904911.94,548333349.13,358688902.66,187780015.19,939509721.21,696417088.14,480037953.20,245463781.36,670561283.92,450503677.87,265729017.13,117527291.94,747680788.16,563161300.44,349824144.61,162489723.43,573692099.64,414520692.84,296515781.86,152614792.64,489721222.88,329619535.48,190572462.40,90025125.69,372713717.29,246992658.24,139342505.25,66173573.16,213783363.20,145805124.42,90492998.04,25546812.39,201345582.16,160303315.42,75118083.67,24463029.91,118306058.06,90144318.21,54859656.64,63985070.53,21898885.00,51283077.56,29486786.51,15542186.48,0.0
7,管理费用,151430874.07,94949309.50,38924151.78,132418596.44,111443772.99,104914123.06,29330547.34,163632822.72,228711562.67,118360935.72,24795152.01,344975258.96,326483314.06,229090528.66,112514037.47,284396820.25,164561597.66,88986702.22,38833463.48,397394888.63,264205463.05,158595960.41,45578530.17,380659288.09,369386144.39,271862640.43,101566610.72,212277152.48,165238774.20,60549010.64,33838267.41,578435831.35,416348914.76,159323431.30,53474161.37,374212774.44,144314813.12,87140889.03,20332798.91,214498674.43,108849279.62,39533440.58,19402023.24,202682302.48,181438375.01,135708717.13,22514253.06,225408408.21,276752320.50,110159417.68,12646748.66,74259994.42,90000186.22,59164226.73,23731357.19,83571524.66,61818870.64,46306721.16,19367424.65,137089447.75,111749789.48,62632143.67,40130654.37,115737097.15,84182942.16,51843736.83,21573724.27,45613661.78,33140392.64,21984506.63,86121860.52,25565183.33,40529205.61,20268552.03,22564797.44,0.0
8,财务费用,262743788.75,168151195.98,78174782.24,409297088.14,324482795.70,218489854.99,93160455.05,316337567.31,218687400.14,143943965.14,64430025.50,332456085.55,265913248.72,184275872.53,98210836.67,456904863.11,359858277.37,251761233.41,128026615.08,545363675.93,415599238.59,280489762.16,138051588.07,410654500.79,328395097.77,216191632.49,107801657.83,399159783.13,294848550.06,195989275.27,97774607.20,313905810.49,245081517.38,152943634.97,71902384.65,335111667.60,249551728.07,159837206.19,75582874.25,376150066.76,302272916.01,214328683.33,93151698.73,398624680.46,302503311.50,193134032.71,78622486.45,255598258.70,172830443.62,99523545.64,39333417.54,136430518.44,96835274.91,53182723.95,25918060.71,90959120.52,62671222.63,35349671.57,14413720.37,30884227.59,17638769.73,9404994.12,5733055.80,21599163.26,26754998.69,16015614.85,11343559.05,36151017.34,29069102.44,20719719.53,36862555.28,18215893.00,122382860.65,109021017.00,87166160.40,0.0
