,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19920630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,6463773437.12,5123065710.62,2798072366.58,1449390922.10,7170638042.41,5213653549.36,3360317892.76,1607517485.02,7226746075.03,5413527994.50,3643265840.47,1532899728.52,6754397061.69,5020668661.72,3118542285.36,1121594645.40,6170874223.67,4882474121.94,3170909037.46,1540819806.42,7015409267.56,4967483052.74,2999608615.72,1372125276.47,6974211654.53,5061861881.10,3154708285.63,1362463896.23,6340883649.76,4031569645.79,2675185541.96,1245737198.71,5762526037.15,4399103044.92,2939469631.19,1522634062.99,5736501433.87,4129357666.91,2807801279.39,1447331652.29,4910150495.33,3572442441.11,2298356964.90,1158439608.88,5668233467.99,4419048947.45,2926672568.92,1383411311.36,5098817845.62,3670379200.38,2368690040.24,1169168776.88,3734525503.40,2781187914.28,1834072437.77,884549133.91,4120707110.23,2965516528.33,1973969870.20,1099892486.48,4977156178.50,3675233837.73,2347801663.93,1070999629.88,3901558898.10,2797372374.36,1875412597.90,911437430.46,3170938765.51,2083051974.28,1361881088.36,586950820.33,2744998411.62,1419576156.09,2943557770.22,1408821890.62,2229710022.55,956423045.43,2041685526.81,945671588.68,2260934765.43,1104941760.64,2268743656.94,1183366618.06,2379711953.80,1131056000.00,1778934000.00,796426094.80,1401253070.93,697464508.42,472373432.41,0.0
2,营业收入,6463773437.12,5123065710.62,2798072366.58,1449390922.10,7170638042.41,5213653549.36,3360317892.76,1607517485.02,7226746075.03,5413527994.50,3643265840.47,1532899728.52,6754397061.69,5020668661.72,3118542285.36,1121594645.40,6170874223.67,4882474121.94,3170909037.46,1540819806.42,7015409267.56,4967483052.74,2999608615.72,1372125276.47,6974211654.53,5061861881.10,3154708285.63,1362463896.23,6340883649.76,4031569645.79,2675185541.96,1245737198.71,5762526037.15,4399103044.92,2939469631.19,1522634062.99,5736501433.87,4129357666.91,2807801279.39,1447331652.29,4910150495.33,3572442441.11,2298356964.90,1158439608.88,5668233467.99,4419048947.45,2926672568.92,1383411311.36,5098817845.62,3670379200.38,2368690040.24,1169168776.88,3735772098.53,2778210585.11,1831781009.91,883942795.70,4120291730.59,2956700462.68,1967267325.89,1101157095.30,4978261147.71,3675518636.84,2348599406.45,1072350133.64,3905555539.51,2796562814.24,1874149855.07,911250198.75,3160992443.91,2083099710.89,1362233919.52,585668508.73,2728322989.63,1413930011.13,2941434357.26,1408579217.05,2224600381.60,950423404.94,2021068779.24,943717354.75,2246470343.04,1100587805.90,2242892664.63,1183485564.99,2373331152.93,1127690100.00,1778532000.00,796601101.01,1396552015.91,693639528.70,471639949.03,0.0
3,二、营业总成本,5819091876.12,4592687023.58,2420206723.02,1233832020.08,6414318932.83,4660185584.53,3004540849.39,1455474497.26,6546399900.80,4991271109.05,3461371552.79,1484669801.58,7245409457.47,5114246537.00,3149341070.94,1120125862.76,6427713999.83,4982568877.14,3259325783.39,1554382671.31,7674426880.15,5105317637.47,3075057115.82,1375238808.40,7206916460.12,5188386935.65,3182925948.35,1375251983.29,6354624964.69,3999633389.92,2621228269.42,1210882706.54,5692384492.25,4191959129.01,2788005110.10,1430367238.52,5787085564.93,4150810329.98,2786048015.51,1440818813.45,5351424839.20,3786328260.66,2358895620.72,1149345492.89,5850061393.29,4437489684.40,2946080029.83,1402506747.42,5136896176.60,3682939344.43,2367784117.14,1171925389.22,3926798298.61,2887234297.94,1876406324.44,951938206.40,4121360446.39,2996579568.29,2017719428.77,1110536764.34,4872164300.28,3560591796.00,2261899642.72,1032640427.89,3846324450.52,2765582263.29,1853259715.25,897846293.30,3163234032.57,2119352930.06,1365071005.05,623467518.03,2791334998.68,1368539319.48,2917992900.90,1366542039.93,2221371880.36,987017603.11,2050407340.86,1017781926.67,2094718812.09,0,2036266854.93,0,2120096112.56,0,0,0,1207109808.62,597531314.88,390439653.24,0.0
4,营业成本,5333854748.90,4281371106.78,2214691678.01,1139343680.03,5892311291.83,4331873507.11,2841359391.49,1375168750.86,6067825995.34,4718455104.00,3283065016.15,1390012587.75,6128517218.57,4664216285.25,2877181343.41,987247834.38,5559439778.97,4404280457.44,2864461164.44,1345625391.23,6375944582.66,4596299018.29,2735822866.52,1214242585.18,6344195298.75,4689724475.31,2869885871.18,1211570407.91,5700714055.07,3581644657.44,2343526772.77,1081955568.40,4923157869.57,3726054141.07,2490594362.71,1279410486.01,4922982228.95,3655000432.91,2519920380.52,1315981960.99,4633165090.87,3321474148.61,2071298289.49,1001962427.70,5148648518.22,3943590408.80,2610222758.14,1235104014.20,4519225464.33,3261680778.71,2091172004.74,1043152573.21,3469125762.76,2582677225.98,1683282786.04,826458803.11,3719560758.76,2666912489.00,1803288900.56,1002990308.29,4305464938.55,3148994304.93,1983834745.87,903886945.54,3297278590.40,2406343017.40,1602351953.91,770410815.76,2729433537.65,1864882326.98,1205871810.19,536844751.56,2372013523.41,1196985451.84,2441038185.64,1169811355.73,1863221557.95,822222457.11,1777188417.29,847680624.14,1788334085.03,0,1710450257.80,0,1674570533.16,0,0,0,1034379215.86,498462956.01,355027237.65,0.0
5,营业税金及附加,17162514.87,12284277.43,7142755.45,5221285.49,22672501.53,16922861.28,10597980.90,6249628.32,35609963.18,26164911.21,17279829.28,9471176.40,28916705.72,19009626.59,10761365.72,5374655.04,19193727.90,14075272.58,9909252.23,4653432.77,17827448.28,12018518.55,9717528.42,2750941.15,24845304.83,17112806.38,10602483.47,4391815.34,23582922.84,15954654.36,7385648.14,2441312.04,34464638.69,21727097.02,13616872.52,7110231.20,31853560.63,18949408.06,12441126.62,6491432.95,17282652.27,12270146.23,8435922.43,6170980.15,24052086.40,17726737.38,12941195.60,5003086.19,23904205.22,14557495.01,7667072.47,4262079.52,7846973.22,4504499.14,2931525.30,2158162.74,10634246.52,7861874.94,4855425.30,1883801.99,17093772.89,13939097.33,10830987.99,3962854.47,15608416.72,10822982.06,7862432.92,4421580.10,15103224.64,9328351.86,4903568.60,1241776.98,10785469.19,5896186.58,14010563.70,6073670.13,10338414.27,4032355.43,9060337.55,3138775.85,11194883.30,0,12848140.50,0,15425548.16,0,0,0,88063881.29,58158690.07,35412415.59,0.0
6,销售费用,188603795.33,115497953.28,73524205.24,33602941.05,206889396.31,143995697.72,78325593.09,37470866.37,156501033.00,99234574.20,65934016.46,33760996.05,184329793.95,133943737.36,87128646.40,41518493.82,199911085.12,148196350.41,98792138.23,51480221.24,205248898.35,156803618.65,102273725.99,48158430.00,193012461.43,124961710.49,87607814.61,48435888.69,151977833.76,101655888.70,66515979.12,23840931.44,119134006.71,87275653.36,58034311.07,29851430.69,115558884.50,82789484.63,55434547.66,23562152.44,125190298.50,89645040.76,62049776.71,29968431.12,136310084.17,110304515.89,77542696.48,42247190.68,119192508.81,92658148.79,56256584.81,30008625.07,83335732.64,65390076.84,43110936.09,21210794.23,83375135.87,68325784.28,47077884.08,24235873.72,97109166.34,73707649.68,47603026.17,20708666.22,76216825.23,57287436.86,40486551.80,22274962.46,41126939.95,26692340.70,15335986.48,6713826.46,33582730.01,17727089.39,28258722.52,12866892.90,26536246.77,12789229.97,34791183.08,17873329.15,29542745.61,0,25814860.46,0,42908538.86,0,0,0,17158959.42,7331847.79,0,0.0
7,管理费用,105177868.91,59082720.38,38572415.14,17092163.38,113141437.02,86130359.77,64621301.90,32213448.85,148254272.29,103601898.84,62912870.57,33239998.06,480214277.58,242363375.30,138016705.19,66024627.85,402196032.57,314016143.92,219204961.14,120344105.35,633388738.66,255947662.40,173299334.53,84160856.97,416638560.56,273388165.89,159383395.85,83673481.23,334096291.86,209251850.61,143883048.20,73963096.97,460884227.14,281172871.86,169591460.31,87565714.95,317574051.02,199748111.48,123050354.84,58484217.11,367248017.51,250969072.67,134645248.57,66429211.43,301412316.95,208242921.08,135517563.20,65503425.34,291086127.53,205280180.86,135275363.31,62892064.58,273870323.89,161855654.50,98763204.34,76926152.89,221612841.29,190577919.78,120980419.22,60922912.68,389495440.95,282107224.79,193303010.25,90613023.28,400246045.98,247787613.77,173376648.89,85673284.90,306392929.95,172739076.77,107645636.12,60130955.05,337267140.60,124517931.47,360362395.21,130001702.25,203422534.64,87573181.03,159196726.47,108755954.67,220541448.59,0,215285197.80,0,252861347.46,0,0,0,124406359.35,37591064.70,0,0.0
8,财务费用,25589334.73,16362984.80,11603633.64,6852994.24,38712135.17,22886240.87,10303828.21,4371802.86,66747019.99,43814620.80,32179820.33,18185043.32,74994167.59,54713512.50,36253010.22,19960251.67,140436053.89,102000652.79,66958267.35,32279520.72,121456535.42,84248819.58,53943660.36,25925995.10,111801208.77,82842998.65,55446383.24,27180390.12,120850845.04,91127338.81,59916821.19,28681797.69,112433576.90,82659805.13,55692810.10,26429375.67,134873697.74,108575248.24,75201605.87,36299049.96,145696976.48,111969852.39,82466383.52,44814442.49,207226450.98,157625101.25,109855816.41,54649031.01,182583355.65,128377837.59,87500265.12,41697220.15,92619506.10,72806841.48,48317872.67,25184293.43,86177463.95,62901500.29,41516799.61,20503867.66,63000981.55,41843519.27,26327872.44,13468938.38,56974572.19,43341213.20,29182127.73,15065650.08,71177400.38,45710833.75,31314003.66,18536207.98,37686135.47,23412660.20,62694807.29,47788418.92,116820787.59,60400379.57,65145646.69,39711438.53,45105649.56,0,71868398.37,0,134330144.92,0,0,0,-56898607.30,-4013243.69,0,0.0
