,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2188970186.01,1473206010.45,781344292.32,3302144019.42,2367248088.50,1555114701.60,791358485.17,5444845625.17,4271387858.72,2620746685.45,1144908445.10,7177952083.97,4984395536.67,3027196879.18,1588325612.64,5071811168.85,3034025253.33,1473801014.76,690931631.10,2134146877.28,1588944865.86,1012201565.14,483511251.58,2142418350.55,1541637814.61,1015396783.82,497819526.05,2014042616.23,1396564030.25,887850751.93,442667165.57,1975214446.19,1418609727.53,929377019.84,442431176.19,1488122150.21,1054489404.47,658918855.65,306121179.99,1312648968.55,936382944.56,568145766.56,274293460.57,1481969603.43,1117520746.35,701032206.57,333663137.91,1441529090.85,1051909200.56,684516592.80,336762917.16,1343160011.57,1039841562.34,655006565.12,280623475.31,1135479204.29,829870633.60,544941103.57,276639754.06,1026796302.98,719547391.57,480788549.00,247320427.02,943052319.81,695853882.95,442422447.23,226892843.34,862753159.14,669705994.30,477676163.60,253572243.54,600096501.51,293664453.88,275740611.94,85033242.11,211821196.69,83283918.59,135729962.59,66868662.47,102816397.54,60644159.15,101832669.38,48991706.33,73015779.54,31115000.00,92744747.09,32352681.75,44846895.40,22183750.25,26346680.90,11486416.45,15654408.55,5756408.80,10080492.35,2643207.95,0.0
2,营业收入,2188970186.01,1473206010.45,781344292.32,3302144019.42,2367248088.50,1555114701.60,791358485.17,5444845625.17,4271387858.72,2620746685.45,1144908445.10,7177952083.97,4984395536.67,3027196879.18,1588325612.64,5071811168.85,3034025253.33,1473801014.76,690931631.10,2134146877.28,1588944865.86,1012201565.14,483511251.58,2142418350.55,1541637814.61,1015396783.82,497819526.05,2014042616.23,1396564030.25,887850751.93,442667165.57,1975214446.19,1418609727.53,929377019.84,442431176.19,1488122150.21,1054489404.47,658918855.65,306121179.99,1312648968.55,936382944.56,568145766.56,274293460.57,1481969603.43,1117520746.35,701032206.57,333663137.91,1441529090.85,1051909200.56,684516592.80,336762917.16,1337435298.21,1036140351.35,652673908.38,279035918.59,1127513715.26,824973690.07,542200023.55,275771102.74,1022729795.73,717054211.22,479585223.75,246627111.21,941866580.00,693771338.30,441084662.19,226123694.56,856904841.37,665351907.71,474901508.58,251228306.52,599645542.08,293234462.21,275715715.19,85009255.62,210535090.05,83283918.59,135702765.31,66868662.47,100095544.12,60565318.11,101800818.94,48957233.60,72999403.94,31115000.00,92744747.09,32352681.75,44644600.88,22087010.62,26346680.90,11486416.45,15654408.55,5756408.80,10080492.35,2643207.95,0.0
3,二、营业总成本,2593726950.66,1707681053.12,928056976.27,6534316425.60,3200929943.83,1960966526.82,992886441.97,5721378370.65,4239647668.14,2660816811.18,1187212644.84,6887083545.27,4885120080.74,2971634012.39,1550111531.17,4744139246.53,2902755485.88,1450123159.42,655712125.26,2084580249.23,1534993936.80,974109081.85,466522699.46,2133721455.02,1513470652.43,993937591.99,488607161.63,1970933222.52,1378444285.05,884685872.04,424405636.91,1888075725.06,1353690322.64,893170374.15,415526757.70,1430436741.78,1008252732.22,627822958.13,289209251.73,1297489745.72,912006506.83,555936707.67,270749336.25,1432537483.95,1067451081.00,668077316.16,322213502.54,1434917004.84,1103310800.76,726798719.95,333566247.23,1307904381.22,993356890.33,624294594.96,274042041.05,1108749673.49,806789100.71,528393950.51,269724255.03,1009499724.54,690000164.27,458747060.90,231458759.00,918177593.34,672978213.79,430870137.01,221449890.15,818806882.11,636759099.73,454461600.66,241307758.55,524137151.77,223228357.68,212457121.24,80242222.58,195346348.82,78345907.01,134584960.16,68302439.28,92825910.28,0,94967773.78,0,70489148.16,0,0,0,39800174.79,19095459.61,21341743.17,10300318.71,12737229.93,4579192.56,8439144.91,2167291.06,0.0
4,营业成本,1509300849.02,995766987.79,531342045.37,2398469235.95,1677446552.92,1078889988.74,580803012.63,3876986886.70,3039231232.42,1882468845.24,826746469.30,5245877013.43,3744363324.51,2154563149.07,1191097054.20,4026544323.70,2386308244.39,1122798342.88,522498500.22,1670175260.09,1244419812.37,790197586.54,382422700.12,1703996887.96,1224354865.23,804179245.79,400736941.63,1591627883.28,1099625569.92,697137896.60,349734897.58,1537445711.98,1098248569.97,719470410.88,343090254.42,1144539579.36,793156054.80,490472989.97,230964067.30,1004824089.87,707235662.20,432363498.25,215265841.09,1195239281.45,896278718.78,555293423.92,270657592.05,1190069827.44,864821288.26,562332198.94,277770611.36,1115943157.95,838262508.06,525942267.83,231320405.10,941445859.90,684435018.68,449196542.34,231643274.98,844048322.85,582645602.62,384202377.36,194796044.75,754634230.21,565101511.94,357875567.37,187834510.07,724682856.70,583068122.55,420554681.54,222250348.21,453420184.75,187956306.17,173985746.70,72321105.51,176182293.28,74414966.00,125735003.53,64256236.10,93551117.29,0,91868452.17,0,69466066.37,0,0,0,36137041.75,17666946.73,20745304.94,9248335.38,12352039.97,4429129.39,8210228.50,2114761.23,0.0
5,营业税金及附加,21112654.86,14483436.62,3204182.53,26413845.03,14660343.45,10818229.49,2890752.80,32197192.12,22996796.00,16545483.54,3615004.61,28949476.28,8868080.70,6724251.98,3762090.90,40954189.34,23794959.07,7268825.52,1857647.56,4880747.36,3099472.62,1871265.19,650556.76,4445319.88,2376405.67,1456801.74,515854.08,4454316.07,3076258.92,2238027.61,1440654.04,3631337.89,2323187.99,1856333.68,820210.80,1506090.24,956930.19,591606.27,143380.06,1660171.89,1120776.72,797402.18,506656.37,1510245.63,805114.54,557841.60,187483.03,634424.05,312755.15,189512.82,102513.77,566245.08,935419.57,470928.16,121656.54,3104443.11,2422774.04,1579339.79,450647.87,4438772.89,2025833.64,1691409.61,932839.54,4949235.18,3133072.62,1939998.92,1007905.99,5291149.62,3641187.30,2124079.91,1458413.72,8008026.77,5873050.13,4304336.49,538964.19,997957.56,92661.77,244915.84,90771.58,646514.34,0,269480.11,0,196521.20,0,0,0,1035977.16,495452.26,596438.23,245012.11,385189.96,150063.17,228916.41,52529.83,0.0
6,销售费用,508144344.13,338045674.08,172445439.96,724049863.01,556720399.77,378224356.19,187607464.14,776576294.21,558943415.48,375266657.03,159302584.08,804733545.44,531520943.92,409947498.77,160396661.37,211409522.93,138865803.28,85891347.07,43396655.97,135861818.12,99734552.31,58986676.01,26294934.77,124568448.66,85774278.46,54227076.33,28186812.08,133121006.59,106581278.93,69460448.83,26164601.86,137681555.31,97027189.57,69606537.87,24699678.67,121540761.08,100224069.77,62419675.04,23229649.82,98809166.28,89825520.78,51534162.85,23656928.95,94661214.92,63911631.00,41523668.51,17892246.13,72911390.61,53198189.75,33054478.67,15428569.89,65148502.75,49521293.82,32368708.35,12857872.30,45680040.59,30955479.60,19733068.24,9882799.62,46575663.76,29326510.39,19710856.23,10426964.37,39707195.44,27558633.81,17855463.09,7310532.70,27283881.62,14839322.79,8468228.20,4312326.53,14443292.07,6400868.53,12396411.08,3125928.46,3388571.62,973193.96,1773283.85,783124.48,727720.03,0,1252697.93,0,823276.20,0,0,0,760915.71,224134.82,0,806971.22,0,0,0,0,0.0
7,管理费用,284670692.60,197391241.03,88591147.98,574437766.16,373739655.93,319980978.57,156349312.82,672281502.78,507520006.37,326158772.03,161000752.91,666044400.55,476844656.84,313595664.72,152504277.49,352138157.47,272786043.33,173795879.49,71937778.92,211778705.24,156050671.57,100778658.90,49216849.64,223596760.14,161281366.53,104148295.26,47555529.89,205035642.42,148017499.06,101794743.42,40209663.19,174987599.19,132680253.54,86031472.18,40934226.20,136427721.14,95181984.39,61903285.57,30484018.88,115853766.53,82907628.32,54842117.54,25008029.05,105867513.23,81675960.26,53411873.10,23781406.55,100129124.38,103872309.23,46919329.51,23570982.21,95896785.32,82990040.18,51345000.40,21620162.12,84002856.00,61972306.46,40803429.39,19534171.37,97612430.35,56125219.16,37488435.80,20377740.71,92383621.72,59260210.60,39290855.56,19059891.38,47478077.11,26432708.78,15889102.57,7496309.12,23534614.09,12584656.98,13726885.62,3856932.17,9873170.87,1220123.58,4436375.43,2755041.92,2036000.43,0,4124223.01,0,2940146.41,0,0,0,2096028.16,835840.95,0,0,0,0,0,0,0.0
8,财务费用,193115442.97,115539537.05,85514355.46,282795403.04,146155907.99,113872740.44,63810692.98,132125915.87,82905434.66,30790096.03,37427796.82,131196025.20,112470429.93,73165981.21,43381856.08,92013015.61,70175012.16,48070323.37,16021542.59,34046826.76,24043778.85,14629246.13,7937658.17,43968350.16,34678214.24,24920650.57,11622810.52,33273001.57,19751108.93,12662186.29,6855820.24,26711320.74,19221057.24,12015555.21,5982387.61,22916648.47,16264824.41,9871292.17,4364135.67,22650064.58,18203642.99,12658560.55,6811967.10,31240260.68,24790722.00,17288857.84,9694774.78,29594027.84,22417694.25,15356327.29,7193570.00,30349690.12,21647628.70,14167690.22,8121944.99,34516473.89,27003521.93,17081570.75,8213361.19,16824534.69,19876998.46,15653981.90,4925169.63,26503310.79,17924784.82,13908252.07,6237050.01,14070917.06,8777758.31,7425508.44,5790360.97,24731034.09,10413475.87,8310710.64,684283.50,4510498.73,1644961.70,2378281.15,388546.27,-4135441.81,0,-2547079.44,0,-2936862.02,0,0,0,-229787.99,-126915.15,0,0,0,0,0,0,0.0
