,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7165302254.62,5199746601.89,2036417853.31,14541230534.18,10617904387.09,8537974805.15,3636280647.22,17960355449.10,12400840229.57,7817814075.51,3272397217.93,16275691527.50,9751373119.87,6687506135.22,3167614105.59,15852945244.27,10261143520.54,6918634662.87,3272443516.80,7825228125.65,2403679215.62,1704806391.93,901420420.08,3353360190.46,2243303552.43,1524756735.76,761813315.25,2850131334.53,1972192624.69,1420769865.17,768060956.59,1837717629.81,1291117569.78,881391351.99,501868425.81,1539687306.78,1093217630.83,776503804.42,445117149.40,1409056338.96,984437002.66,695489723.04,395193766.57,1650609786.68,1167635222.29,808978657.64,450342042.06,1587893852.64,1140095538.40,820482618.61,463063923.63,2633690471.28,2101650818.77,1482822149.97,775343961.32,3011521661.09,2312518565.93,1673054476.64,897020249.88,3314993194.40,2375811910.88,1820386887.60,979985760.41,3003717382.83,2068199771.63,1383683082.48,763407112.07,2067602953.40,1450063559.84,971917245.31,516088132.67,1461004237.73,708219555.54,1386490779.49,667477640.09,1283725464.73,641560755.18,1248153180.41,593897230.61,872055447.08,456791394.59,872652612.09,567290478.97,921642974.58,474068882.44,1029077000.00,474459595.86,908890910.28,623855300.00,0.0
2,营业收入,7165302254.62,5199746601.89,2036417853.31,14541230534.18,10617904387.09,8537974805.15,3636280647.22,17960355449.10,12400840229.57,7817814075.51,3272397217.93,16275691527.50,9751373119.87,6687506135.22,3167614105.59,15852945244.27,10261143520.54,6918634662.87,3272443516.80,7825228125.65,2403679215.62,1704806391.93,901420420.08,3353360190.46,2243303552.43,1524756735.76,761813315.25,2850131334.53,1972192624.69,1420769865.17,768060956.59,1837717629.81,1291117569.78,881391351.99,501868425.81,1539687306.78,1093217630.83,776503804.42,445117149.40,1409056338.96,984437002.66,695489723.04,395193766.57,1650609786.68,1167635222.29,808978657.64,450342042.06,1587893852.64,1140095538.40,820482618.61,463063923.63,2605113807.56,2081381964.67,1469061783.76,770473153.51,2989056792.20,2297307989.97,1662233552.20,892747459.80,3298978228.28,2366268256.22,1814336191.23,977878374.45,2992017130.71,2061116934.89,1379236340.90,761364905.43,2054808843.48,1444582882.28,968447503.41,514187247.39,1448689337.11,701234185.01,1376547329.45,662323370.40,1275059339.39,637496032.32,1241013030.04,591979578.98,951641400.68,456625452.43,956539100.07,567170280.19,1001742680.78,473980755.68,1028899000.00,474364035.91,962063832.26,623839400.00,0.0
3,二、营业总成本,5319613318.99,3816924646.54,1566418340.83,14740970886.74,11638669544.33,10099675867.05,3661304243.16,16937850672.07,11787502955.56,7562984964.80,3281875853.54,15780728588.90,10228405259.02,6962449614.15,3350858473.82,15725854750.81,10636240748.80,7109207145.24,3432311705.53,7312657950.68,2281232311.90,1584894121.46,824193061.92,3183759720.67,2130533785.78,1429232278.58,699167207.48,2723059783.51,1894149720.82,1351596241.33,723957344.88,1767117019.28,1209182044.01,810507364.77,454814776.88,1437940872.06,1002163810.35,698846994.26,397278622.18,1307660147.99,911932234.81,638816974.73,356567342.19,1564378040.73,1091157857.02,750951016.22,412719839.76,1504438427.70,1068894545.41,761269328.42,424117908.85,2485443690.73,2024955997.22,1451541847.55,739796061.86,2938687891.43,2252962363.88,1623015829.91,866637823.95,3242227282.76,2318013697.47,1776149874.99,949529324.17,2922811886.25,2022142339.58,1346331191.88,737817397.95,1962208627.74,1384552884.88,924565897.36,482640754.56,1385621564.79,665728026.29,1305906999.41,616600888.71,1200000847.44,593894987.96,1170081831.88,551977621.91,891979301.88,0,929279187.15,0,952895296.20,0,0,0,920847750.30,592431000.00,0.0
4,营业成本,3617510885.67,2629540831.11,1089859172.81,8127508485.77,6375770164.71,5267524591.14,2327096351.56,11180786186.98,7778502965.49,4984853300.19,2120116684.43,10431382244.68,6391638557.00,4390446672.44,2086125758.89,10304086368.68,6761853854.07,4571023470.83,2190929059.72,5318417574.56,1815743144.07,1298601943.55,687207225.98,2576821703.88,1721079298.93,1166305047.02,576078485.73,2221981276.99,1521796784.74,1107241454.71,602291314.19,1439017919.15,1006404815.89,679393034.14,393445909.15,1180443129.06,834505107.75,589142502.47,342260059.26,1032709769.06,728193212.12,515383526.80,293476338.65,1238771229.86,872572259.07,601621447.43,339941828.35,1213559496.39,871759161.07,629772810.61,356120686.96,2222430672.78,1821255343.20,1288014171.96,670028338.50,2669088175.77,2070431008.92,1498633427.04,800817074.48,2966915345.79,2123107170.09,1631777610.22,879918920.13,2679693385.10,1845746542.43,1228050805.58,671809438.41,1750894964.43,1231247451.16,815307028.76,424893442.82,1180886048.26,568218699.69,1118114850.70,537956080.68,1054554274.52,517572868.70,1035989697.55,494792619.14,805784041.39,0,840385857.94,0,870653564.42,0,0,0,835824673.32,541789200.00,0.0
5,营业税金及附加,306229753.88,269208787.50,50765009.68,582029034.46,479779792.52,336993867.65,49209238.36,344143742.93,278422590.89,137111072.24,17846548.13,216582540.97,47872075.39,37134578.65,20592375.52,83139035.30,50294538.76,33848349.66,20120952.27,82250707.85,44986181.37,30104341.47,16363072.73,77005690.69,43404430.66,29644215.68,13079010.04,47544888.89,33881891.84,22580741.02,11891774.98,27607872.19,14449920.04,9351875.10,4901707.44,18753040.81,11710052.60,7868312.41,4505587.76,16796654.04,9670185.59,5879703.64,3901516.23,17343327.92,10411932.57,6644682.86,3884130.90,17445563.44,10300571.28,6844286.71,4315835.66,18171049.54,8222108.72,4870608.28,2540929.20,10381842.40,6494597.25,4343923.88,2445278.09,8832568.41,5571675.81,4245047.00,2509319.35,6875531.56,4365738.91,2949317.02,2004194.02,7615554.33,5548904.30,4122797.61,3225486.10,8867787.45,2843190.20,9517265.55,2873084.13,6047555.05,2490371.96,4011009.95,3010050.41,6034390.18,0,5211708.21,0,4397001.37,0,0,0,33739741.81,17467600.00,0.0
6,销售费用,504325150.90,348838107.46,179936805.71,2323876592.07,1798564856.63,1749051246.00,909405124.22,3648616818.15,2614204171.41,1697149309.66,827200721.05,3787280264.96,2700016997.87,1790370783.60,893209649.42,3879841751.89,2697246880.83,1757786234.75,865826087.47,1151039973.67,65913848.81,42447560.87,21907311.00,175024471.77,63433311.17,38117907.57,21279344.73,161743568.73,61220286.25,34707238.36,18256194.53,92377423.82,28053116.07,15363921.78,9515686.25,81541458.52,26102001.31,12758482.60,9312677.76,85601542.82,28509779.44,15179699.73,12222029.27,114680689.84,38675403.76,23108335.98,16183473.37,104614181.81,45374088.64,30188345.35,15825212.87,110049508.10,68585114.23,47543420.69,24171736.43,92724286.65,61783525.89,43600405.58,26975704.29,103555129.49,81711283.73,62916117.37,27986537.07,100676675.34,64022257.06,45705768.23,30808625.51,78839060.21,53736786.46,36618608.36,20920786.00,73306224.66,27813173.59,58304085.88,23898751.50,55967385.08,23138005.74,54793161.45,18286076.15,37628124.53,0,38736334.21,0,37741035.28,0,0,0,26892671.04,33174200.00,0.0
7,管理费用,573566644.65,373620043.72,157541151.87,1250366689.16,857522634.48,725224800.04,298637940.30,1362465619.91,900209332.71,584051656.11,260464757.21,1065771769.76,890637618.36,605395987.46,284079476.05,1103304167.98,846813892.04,570149407.93,271067082.51,567697946.23,287089812.63,182874883.55,85646658.93,278519027.44,249370460.47,161853429.61,73993738.76,242825182.47,221720091.66,152484848.76,71272138.68,153834796.41,129082777.09,89262979.71,39411321.83,137813875.75,121813437.47,83420941.17,37774039.66,143371775.11,126071557.48,88226826.69,40169473.63,162607696.24,151912637.00,106126629.05,44631760.39,125302080.46,124108107.99,82606205.32,41850178.45,105108298.80,104807669.99,93384416.70,36029463.68,139219775.72,95364602.67,64391047.41,29798069.67,143126124.66,92922916.17,66611516.81,33887922.85,112526425.64,90288141.06,58316257.44,25632642.95,105383886.23,84481379.45,59398557.97,32554028.19,107772673.56,56919485.54,100166121.45,41789056.00,69667324.92,42753292.48,70675639.53,33590257.98,50339901.80,0,51073281.84,0,54647615.67,0,0,0,24185396.32,0,0.0
8,财务费用,59140498.99,32836081.25,7792479.23,224986832.58,233757243.75,177016509.97,64442492.43,304208834.64,225291508.08,160029698.71,77368356.72,269237684.70,191445502.44,136547364.55,66865956.50,348189217.58,279262716.42,176657178.79,85323251.39,173336264.94,68261954.17,31130565.68,13460576.58,76078571.77,53862375.09,33224798.58,14868794.79,71377541.62,55164820.52,34916957.80,20267614.27,49790768.03,31159378.07,17103517.19,7540152.21,21289833.47,9424396.27,7047940.66,3426257.74,21900447.10,19495384.09,14133155.13,6797984.41,31812495.20,20559470.46,16372018.21,9039769.42,23785643.76,18946407.80,12427117.88,6005994.91,29684161.51,22085761.08,17729229.92,7025594.05,27273810.89,18888629.15,12047026.00,6601697.42,19798114.41,14700651.67,10599583.59,5226624.77,23039868.61,17719660.12,11309043.61,7562497.06,19475162.54,9538363.51,9118904.66,1047011.45,14788830.86,9933477.27,19623325.35,9897068.26,13764307.87,7940449.08,4612323.40,2298618.23,-7807156.02,0,-6127995.05,0,-14543920.54,0,0,0,205267.81,0,0.0
