,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,575997694.21,6931326473.55,5219134988.50,2910405456.93,596003764.06,5774755192.51,4317005630.87,2349742443.65,435233494.48,5968969317.33,4627991110.17,2604744659.23,575970500.69,5114474153.69,3793618335.10,2050944197.35,401567528.63,4842541581.48,3768912057.21,2054015576.95,448810701.72,6146974408.46,4829489465.45,2790853508.10,714036849.28,5813025594.52,4294488279.15,2312273873.45,583311704.55,4248224768.11,3208026404.38,1856142061.80,469309940.33,3625421630.34,2808479820.23,1684532892.65,563438074.02,2986751680.72,2276465874.96,1410918600.82,528415943.40,2458361119.16,1885776447.55,1180744845.71,445798857.03,1822644492.48,1330353808.29,747284376.50,219796784.32,1256861521.75,900139347.93,504753265.55,167752930.48,996504421.38,708175417.03,423731955.83,142683525.96,773030892.29,581382222.60,375010427.06,116975130.80,712041877.38,555368030.31,360051075.12,121876882.66,463451321.36,314657410.21,171800245.59,61321418.40,389086435.88,286736668.29,154881807.60,42282717.51,271950683.53,130965404.42,278323218.92,118808602.16,247418161.15,92196038.42,226839146.44,89418942.09,213281416.63,82944706.90,169878802.75,78423748.01,152507960.90,0.0
2,营业收入,575997694.21,6931326473.55,5219134988.50,2910405456.93,596003764.06,5774755192.51,4317005630.87,2349742443.65,435233494.48,5968969317.33,4627991110.17,2604744659.23,575970500.69,5114474153.69,3793618335.10,2050944197.35,401567528.63,4842541581.48,3768912057.21,2054015576.95,448810701.72,6146974408.46,4829489465.45,2790853508.10,714036849.28,5813025594.52,4294488279.15,2312273873.45,583311704.55,4248224768.11,3208026404.38,1856142061.80,469309940.33,3625421630.34,2808479820.23,1684532892.65,563438074.02,2986751680.72,2276465874.96,1410918600.82,528415943.40,2458361119.16,1885776447.55,1180744845.71,445798857.03,1822644492.48,1330353808.29,747284376.50,219796784.32,1256861521.75,900139347.93,504753265.55,167752930.48,995374209.88,707426700.53,422970101.58,142532345.91,771474193.46,580542484.01,374370752.54,116751619.40,710268352.28,553796035.99,358629362.52,121254214.62,461338145.75,313706439.54,170844532.41,60532883.01,382818534.90,283684562.81,152298512.71,41981419.03,266834785.30,130282669.99,274292956.33,116908658.78,243518271.46,91642485.36,224110014.97,88154884.05,211345734.64,81979834.14,167895575.57,77545718.72,149113157.93,0.0
3,二、营业总成本,552721007.04,5562639727.52,4032420416.56,2373341623.38,636128720.12,4955808507.26,3664716694.82,2103257966.16,601452361.59,5384931123.14,4025986019.51,2380940892.86,721654963.24,4983002790.73,3589319257.32,2098140294.17,631655546.27,4963430784.69,3797724682.92,2169790471.96,642461577.68,5683051321.20,4174816962.41,2542340481.98,835926424.20,5410051859.64,3936937324.50,2213435452.94,681186076.75,4217273609.34,3158322089.62,1903724839.59,581604962.81,3342819341.88,2387867191.04,1401381602.12,524303512.38,2491171752.09,1845887692.69,1135125667.94,449051693.50,2031416268.47,1531177665.37,1005288616.67,392424385.82,1648206951.72,1179846581.16,707237989.63,244233511.84,1265058391.84,881796131.61,497225030.52,184187265.56,994520613.18,705463103.37,421814598.84,151839387.07,770555118.87,579466987.84,368350622.56,122999244.17,670904038.98,516566622.32,345096508.03,121309475.25,418961591.39,281187263.99,156082293.17,61325244.51,333982992.95,238857570.39,128919584.25,39918750.27,223671815.08,109452284.53,216342497.53,95375060.47,209962344.35,82773857.86,193221204.88,85097528.15,191300454.36,0,147454275.76,66552806.23,136825155.39,0.0
4,营业成本,397986707.38,4395318128.65,3280012930.23,1874420791.98,441128624.38,3863246136.54,2864960209.17,1591735574.79,419166517.73,4126616673.41,3163979335.35,1826612047.70,528598411.56,3670300778.82,2777665911.90,1607962133.12,439848224.57,3778330193.38,2968101510.81,1673174373.96,429057895.37,4332212040.44,3306994432.49,1974846707.75,586517662.59,4096998550.56,3048405963.42,1720926182.05,487764030.93,3347508707.26,2553704309.40,1534879333.01,440473058.09,2526358052.07,1872433072.07,1080228173.82,383641742.11,1930841746.07,1441476040.97,897276005.57,349849180.33,1424571249.46,1079822179.43,690334410.88,278068994.19,1126100818.35,806998879.31,477869414.70,149363537.87,931042242.07,683080283.98,373216944.42,134288713.49,749133479.15,525069447.22,305760290.87,107318959.94,580055299.37,435746974.39,280002301.04,89954188.38,500995865.73,383923829.98,253943733.24,92204689.45,310302938.64,203170754.86,112241002.87,46926913.13,250960565.49,179006065.59,97352449.39,28728857.35,176722289.00,84806966.51,173100919.17,77354080.76,175686841.94,65156847.14,157136364.72,67494744.76,155515139.48,0,111521538.86,50635682.20,94042718.17,0.0
5,营业税金及附加,6509396.17,83970200.49,57993816.11,37943064.24,12456148.40,74345271.19,51103875.76,31700015.67,5817695.38,62485326.18,49190251.72,30245475.30,5050967.74,55264372.99,26536801.51,14384504.23,2481146.42,43044024.45,27244550.51,12205629.07,1026509.50,45636888.02,36509771.77,20267279.06,3329220.71,40868970.73,29746665.86,14261349.94,2500939.61,28235049.08,18544179.64,10743149.63,1538315.46,23449295.76,16301398.31,8855499.78,1746113.45,20837429.79,14821488.60,8617590.27,2972087.26,18829897.55,15351496.59,10080905.41,3419516.30,14326709.91,10939533.36,5862886.81,1475979.64,9171694.40,7114991.56,4127299.91,1289340.46,8529312.62,6490669.40,4279523.21,1396672.73,6604264.47,4921092.40,3228548.13,895101.49,6594676.55,5432925.83,3617033.52,1279748.95,4516304.60,2910949.81,1702352.98,340724.97,3565329.20,2607052.42,1267019.46,317461.88,2311857.63,1186278.91,2515133.14,1165691.50,2454877.38,783362.29,1904361.73,549040.34,1355884.28,0,1412062.56,622734.74,1173593.81,0.0
6,销售费用,43323465.56,346364040.27,248965791.91,142749552.11,37223170.64,299836204.78,219164841.85,121496110.53,33105001.83,316350922.02,237434599.83,137897892.70,42571705.01,325294916.07,246151163.86,146452789.55,44200643.03,313506633.57,230960071.60,120683701.95,39576207.54,285976237.07,220255440.76,138089063.81,50979409.95,274829546.54,200083185.35,115755943.85,43735813.87,219772515.07,165653836.10,98723049.21,34510753.97,185742907.29,136938687.70,84430268.57,35436974.21,160350043.84,118850276.33,73734308.91,32086833.20,140260914.07,102361487.07,63548250.89,28136316.82,125337687.43,97003427.16,59071672.39,25935993.19,102343327.67,77381682.01,47870886.78,18854858.67,90129964.64,70802268.55,46292079.62,16369354.21,80744535.31,57186635.44,33896272.13,11706027.89,57724244.45,39710853.26,25121939.02,8430697.00,31647965.63,22432480.76,10114134.01,3485184.31,28929837.64,21433921.02,10910894.74,4093289.59,16940047.66,8087306.45,14625403.43,6705176.03,13658417.96,7547651.55,15001490.13,6274349.38,15933224.47,0,13605016.40,8015716.88,14287394.16,0.0
7,管理费用,100632742.36,696929055.26,412915328.39,293010963.66,134489082.87,583297786.61,415058084.89,284550111.43,119381623.71,679986610.80,431964415.91,279483593.35,90639186.77,592705623.25,368390141.31,220059490.05,92851201.66,543005022.27,351435515.99,211967778.13,101039945.85,561925311.54,384246475.90,256688626.10,118381945.67,478638794.78,329318372.03,221407086.64,86714533.54,357851027.78,209877153.87,130475918.34,54478554.57,364247687.15,219603843.99,136563021.23,60211679.49,286800448.40,208103366.52,120364868.17,40860706.52,318619836.95,213910839.39,142432976.38,57867167.49,255135577.67,187677011.97,112805731.19,45297142.83,131791346.28,64847146.66,41548021.61,15832601.26,85541910.08,59340308.32,41088066.57,17300722.24,64229092.14,54803053.64,36431866.83,13210826.71,77026887.53,66893083.12,48611478.47,15914826.12,52057126.55,38788275.96,24656692.39,8842014.49,42534345.32,29788308.22,18707472.69,6510520.87,26161206.96,14266783.62,22726369.23,8120030.34,18366164.41,8808058.67,17503639.05,8998020.88,18846796.94,0,20501637.31,9136957.26,24656092.90,0.0
8,财务费用,4268695.57,40058302.85,32532549.92,25217251.39,13953406.84,85866726.16,69309880.46,50270184.70,25451593.37,125789205.50,98537285.67,70762782.12,36895173.63,185642543.31,148737807.49,99375841.18,51813000.16,258421988.59,200658882.61,132723859.09,65218133.26,287681031.82,207758575.62,139728366.28,68202903.95,278045127.91,204242615.97,131201708.24,49482170.83,271331783.92,197014253.40,123063156.97,47304174.47,181165864.90,113928543.75,63795977.62,29098855.27,84373310.84,56157607.31,29891469.92,14655295.08,88365771.73,72454533.79,52430807.43,24932391.02,103529191.97,77227729.36,51628284.54,22160858.31,65277466.77,49372027.40,30461877.80,13921751.68,61185946.69,43760409.88,24394638.57,9453677.95,38921927.58,26809231.97,14791634.43,7233099.70,28562364.72,20605930.13,13802323.78,3479513.73,20437255.97,13884802.60,7368110.92,1730407.61,7992915.30,6022223.14,681747.97,268620.58,1536413.83,1104949.04,3374672.56,2030081.84,-203957.34,477938.21,1675349.25,1781372.79,-350590.81,0,414020.63,-1858284.85,2665356.35,0.0
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,0,49216381.98,45119802.69,23505969.04,-1470070.43,73702385.23,44880131.03,35939101.69,17899518.53,153794556.29,21837431.25,9905536.04,461330.43,27122922.43,19324151.40,19035129.76,6542886.16,169619812.31,19052265.87,12720438.98,8515281.33,240670869.12,125140521.87,9883182.22,10988587.97,-7425473.77,13528357.21,5840232.43,3300106.25,61855534.71,28661645.22,19034051.52,14168147.85,7968773.15,6478912.96,5241425.10,8627591.11,40768598.71,47277129.10,46461265.68,0,23776966.39,0,0,0,25432314.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-10960000.00,56202532.37,63483900.00,70283900.00,45066800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
