,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2039782445.60,1146113009.09,599814091.05,194325493.72,1930315060.39,1583784391.06,1120006267.99,577842709.92,346233448.05,222937455.60,54941304.84,8257.04,30066055.23,23614283.88,16086216.38,6435254.24,13128475.39,1365128.21,400000.00,400000.00,12124127.43,2817212.00,1321488.21,614996.60,10783426.04,7925800.05,5332842.81,790948.72,14106322.91,4889320.75,3197520.33,0.00,1274336.76,0.00,0.00,3504.27,9852880.78,8312367.10,8149715.00,0.00,362506.87,1962876.67,5622876.67,1616523.65,26007132.47,16457181.95,13769654.07,8011372.60,54457743.29,39948296.29,28179108.52,15826321.35,65825866.65,50806941.63,34995713.68,22968786.39,8351627.28,8320661.47,7290078.78,3895125.44,48674875.34,44592561.81,23382157.66,11553855.49,82647067.71,80256470.15,67842817.06,44010139.78,65021661.33,27837041.05,17111015.09,3649731.31,100459957.81,54263685.62,49215828.42,104308068.69,60640402.38,97257313.43,58147437.63,164195501.25,110484629.90,139329483.52,97519981.35,120128540.85,196759925.56,0.0
2,营业收入,2039782445.60,1146113009.09,599814091.05,194325493.72,1930315060.39,1583784391.06,1120006267.99,577842709.92,346233448.05,222937455.60,54941304.84,8257.04,30066055.23,23614283.88,16086216.38,6435254.24,13128475.39,1365128.21,400000.00,400000.00,12124127.43,2817212.00,1321488.21,614996.60,10783426.04,7925800.05,5332842.81,790948.72,14106322.91,4889320.75,3197520.33,0.00,1274336.76,0.00,0.00,3504.27,9852880.78,8312367.10,8149715.00,0.00,362506.87,1962876.67,5622876.67,1616523.65,26007132.47,16457181.95,13769654.07,8011372.60,54457743.29,39948296.29,28179108.52,15826321.35,63829497.60,48804783.00,34850500.00,22825000.00,8521795.97,8521795.97,7491096.97,4095952.97,48652951.52,44576369.88,23382430.90,11567069.70,81313391.31,79922794.17,67572171.44,44012171.96,64671473.09,27837041.05,17111015.09,3649731.31,100158467.59,54344265.65,49296591.67,103397009.41,60636556.23,97065850.99,57986362.39,164059739.27,110391284.12,139216054.38,97482306.13,120111977.75,195594425.06,0.0
3,二、营业总成本,2015514872.69,1127684407.40,592063989.93,192223845.42,1917070286.29,1575229984.14,1114254481.30,572103760.26,332488986.73,214145796.34,52398643.37,696767.90,37245808.43,28438873.58,19932599.29,6980484.27,20398792.95,2401654.94,1720195.79,411750.33,10601925.95,4773602.96,2753398.37,533332.48,10125637.05,9117223.09,5746021.70,1160825.06,10572948.16,6024780.05,3607939.31,573301.83,12017207.64,1843108.86,1308920.82,455683.69,6027262.77,6159614.24,5473893.09,483598.65,5869844.80,4254358.61,3817922.37,2269432.95,52015901.86,13294063.52,11789643.20,6403801.13,63396248.03,33688351.98,23447608.77,12368164.67,56001546.63,46085572.78,31216753.28,20471828.56,33501518.96,16144908.42,13191009.78,6120584.82,54892404.34,49226756.04,28437477.12,12473299.14,91435684.71,79004983.92,66371989.33,41715863.59,67468420.41,31439513.94,21519086.56,5253484.88,100137493.74,58042498.99,53147284.83,168492115.73,62530246.31,96469058.58,52249886.82,131888829.41,99373709.84,117800191.67,0,106811243.82,170849367.12,0.0
4,营业成本,1994334269.90,1112620837.67,581301537.50,186679736.41,1901387500.37,1563362505.41,1107023201.56,569620291.08,328304184.17,213114798.05,52049097.58,42618.92,29986221.58,23550164.97,16042476.34,6418147.34,11880244.52,575582.98,314921.52,0.00,10216117.93,2373099.15,865304.21,168968.14,9157590.22,7242051.91,4879487.95,739779.72,10862116.09,4408385.19,2887103.34,0.00,977569.57,0.00,0.00,3269.23,3561022.87,3857930.99,3707998.75,0.00,350614.34,1904628.79,2102268.79,1568629.83,29514926.08,9068408.49,8240089.42,4962495.65,39691312.55,28028316.59,19598049.62,10602724.11,45824781.83,35649652.89,25291166.98,16978637.48,6807697.59,6807697.59,5983138.57,3267470.19,38216344.55,37416589.36,19546851.25,9266162.23,66674274.11,65525623.85,55968898.31,36588077.65,50883363.56,20853585.97,12896630.28,2819123.59,82639149.07,39560417.08,35943484.94,87009813.18,45660218.02,76550313.10,40468003.99,116535255.07,82666299.67,98885163.43,0,86285327.54,139360314.97,0.0
5,营业税金及附加,1149404.07,605544.79,284527.31,166618.14,1410191.96,903821.86,445095.66,260633.27,557767.06,209487.29,56585.67,63.25,2698893.98,2697893.98,2698893.99,0,110831.91,90055.59,22000.00,22400.00,255871.27,41189.48,38223.51,0,-1605798.48,13899.63,9248.44,1043.85,274150.62,6353.32,3013.83,0,774299.91,0,0,0,638521.19,529887.81,529731.48,0,0,88908.80,88908.80,88908.80,1487334.03,632500.71,589248.99,346578.95,3386101.43,2414358.82,1837005.63,968010.89,3660869.52,2684263.07,1916777.50,1255375.00,992.03,992.03,992.03,992.03,196198.09,151832.49,113570.56,25025.84,38116.87,30579.11,15604.87,212662.66,460721.33,103979.81,48153.11,48153.11,492333.10,55345.54,29465.36,282508.95,0,757758.56,80000.00,397898.62,0,0,0,224287.73,1018319.62,0.0
6,销售费用,4282367.66,3100719.62,1995315.21,969311.93,1944099.03,907501.30,700249.80,320764.09,257186.08,72000.00,0,0,0,0,0,0,0,0,0,0,0,1001.11,1001.11,397.76,23781.00,23781.00,0,0,46009.84,15408.24,0,200.00,280.00,80.00,80.00,80.00,2788.00,100.00,0,0,55178.98,3806.18,1399.55,0,1051785.26,1036794.14,841810.58,534535.90,1688505.52,1058130.30,539575.77,200587.42,1095123.71,967833.68,765363.45,153985.69,284453.58,255178.58,192370.78,135865.40,1026926.37,948736.68,582932.42,255635.22,4936463.71,2738633.63,2388487.68,1521503.31,2301806.18,1170763.22,1015418.85,709838.35,6942739.67,8950095.18,8708329.24,13345538.20,4811842.90,7204354.90,4238429.99,5591330.50,6638885.07,9479039.94,0,7902270.41,14149327.06,0.0
7,管理费用,17097843.25,11329968.02,9106142.70,5020041.27,15676351.39,10161872.27,6130845.51,1925659.09,7301888.81,4640994.44,3622294.18,2226416.07,8977691.15,5236934.97,2711306.76,1299805.02,9293914.20,1758931.01,1000305.50,197839.00,1690823.85,1757766.95,1440253.23,362283.67,1834103.52,1262524.09,474045.27,228082.50,1552460.56,1021714.07,335867.54,384780.70,1370099.16,1325344.73,933038.01,216591.90,1366779.64,1063103.63,763061.27,247562.47,1604074.10,1258549.46,952107.50,287606.43,2595800.15,1753365.47,1583382.78,292567.57,3787579.43,1306191.61,859352.57,251045.38,4038090.56,2676693.17,1193154.28,548661.68,18808308.66,3547050.98,2857919.40,631695.37,7773626.30,4420599.24,3870711.71,823075.94,10725680.40,4945964.55,4246583.11,1831482.35,5008979.23,4432913.84,3582075.13,1626046.10,700383.15,4977490.21,4472106.50,46377850.52,6212290.67,8027993.80,5025256.23,8649865.74,5635346.74,8316673.48,0,7713684.30,10460562.29,0.0
8,财务费用,-1349012.19,27337.30,-623532.79,-611862.33,-3822785.27,-105716.70,-44911.23,-23587.27,-3722620.62,-3707132.29,-3144982.91,-1572330.34,-4644278.94,-3009237.42,-1520077.80,-737468.09,-827908.46,-155633.22,382968.77,191511.33,-1845601.01,576511.32,384581.36,1682.91,765951.07,574966.46,383240.04,191918.99,-1666862.17,572919.23,381954.60,188321.13,763995.55,517684.13,375802.81,235742.56,946240.29,708591.81,473101.59,236036.18,1257463.11,973548.17,648320.52,324287.89,1297333.91,802994.71,535111.43,267623.06,1148839.43,881354.66,613625.18,345796.87,1382681.01,4107129.97,2050291.07,1535168.71,7600067.10,5533989.24,4156589.00,2084561.83,7679309.03,6288998.27,4323411.18,2103399.91,9061149.62,5764182.78,3752415.36,1562137.62,8813550.11,4878271.10,3976809.19,50323.73,9362888.75,4499150.98,3993898.79,10019884.09,5845894.72,2667595.79,2438196.61,714479.48,4433178.36,1119314.82,0,4685673.84,5860843.18,0.0
