,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1042063462.34,816444646.00,343300140.20,1504373912.34,1111034336.55,769912961.03,337357138.40,2040246476.91,1397488405.50,904623015.29,502059506.20,2239703005.40,1238169519.68,948136986.03,325541251.91,1213144190.44,562464354.45,388676046.02,173927748.58,846431643.89,455544313.62,277134239.94,103775913.48,757035616.44,349918672.11,242071511.41,146153552.10,487319582.06,338911430.00,126340295.24,64833009.59,428717759.47,315082604.18,260764333.86,157264860.93,703181117.79,309808615.64,302284994.61,285225018.65,81820471.83,38240262.67,32001326.15,22079089.83,279885032.36,150334124.71,82271468.07,24935108.80,244831560.96,102608663.29,86786164.47,52205595.83,231220710.97,25676037.85,10859461.42,5796449.99,27304769.96,18850764.29,14251098.70,8837354.98,18042159.92,16879004.51,10993568.88,4951296.37,32550508.65,27245544.26,18557776.39,4978360.52,26389239.74,18080164.29,9193371.88,3488734.95,42605295.29,27460764.88,170816697.41,84533244.57,194235311.27,66885618.75,146217458.53,65866989.29,188120107.08,103332211.21,213919368.14,117569119.34,215340843.35,114464900.00,202731000.00,106684571.30,243130835.96,0.0
2,营业收入,826303433.46,620070653.31,331835063.57,1422148983.54,949851934.01,666680133.98,260482822.72,1836778810.56,1270711872.51,822557740.74,468271429.20,2098251453.68,1104293944.71,873877030.08,325541251.91,1213144190.44,562464354.45,388676046.02,173927748.58,846431643.89,455544313.62,277134239.94,103775913.48,757035616.44,349918672.11,242071511.41,146153552.10,487319582.06,338911430.00,126340295.24,64833009.59,428717759.47,315082604.18,260764333.86,157264860.93,703181117.79,309808615.64,302284994.61,285225018.65,81820471.83,38240262.67,32001326.15,22079089.83,279885032.36,150334124.71,82271468.07,24935108.80,244831560.96,102608663.29,86786164.47,52205595.83,231220710.97,25676037.85,10859461.42,5525102.33,27304769.96,18045832.86,13728012.58,8574624.01,22031828.84,16838340.61,10963504.98,4923332.47,32481542.55,27222044.26,18534776.39,4978360.52,26360698.49,18100049.91,9212107.30,2922410.15,41822074.43,27037284.49,159696903.25,73490302.31,189086797.72,64785674.22,144609052.64,65477431.19,187180539.56,103064330.90,213410288.37,117331975.30,214735368.73,114464900.00,202709000.00,106218105.58,242271308.22,0.0
3,二、营业总成本,943485438.77,689841711.93,326425189.37,2733412514.10,2177162171.65,1478240679.34,417201809.67,2499512251.66,1405831155.43,947313195.47,456348379.62,2119260370.74,1122787675.25,855404979.89,334095753.19,1069354482.85,476437662.62,323910837.41,157364516.94,755260755.30,424714734.76,255123595.93,93918474.37,725906123.24,337865286.50,235506942.60,138107491.30,464163069.44,322232319.37,118903902.54,60180534.57,368096878.06,269853133.15,216461244.64,118052833.55,566533207.98,230161047.41,210707980.51,194586715.25,147012642.34,65294931.01,47305337.35,27839268.58,259536230.89,138814679.71,80852510.24,28898672.12,227018138.30,102596328.51,81440890.34,46339721.20,189466260.82,45696580.71,23590220.80,11783032.13,61489023.53,37216958.59,31487190.64,17231421.76,61821935.67,39195127.70,27012048.70,15584733.00,66903703.21,50720814.95,36395358.58,16571724.37,82331170.70,44190672.76,26828666.76,11294029.43,112590562.08,43375575.64,188913921.25,75770231.12,167543802.46,62412549.53,121064757.34,63320909.65,179014987.26,0,209897870.22,0,209919144.55,0,0,0,225556197.17,0.0
4,营业成本,657457080.37,500117606.65,239935272.35,1228053680.97,909235560.21,628885743.71,250118139.91,1335532357.96,835287078.67,572499698.71,295347987.31,1433516267.08,769138727.05,631470297.87,234537501.58,796170135.20,318353827.92,225427608.27,104051488.64,567991739.07,289256531.03,186596056.64,65670623.01,571649998.35,246508068.58,174714337.78,107153161.05,325501001.02,218038248.55,67429130.43,28581772.78,246505449.64,193423928.77,155057996.44,78912696.21,430485056.71,160181736.56,157053113.93,149862449.71,56838499.89,24299733.27,19099364.14,13821084.31,147470250.45,83558812.27,47800681.36,14730977.81,141153647.95,51127461.52,44400989.77,26655536.57,130345458.96,13930409.48,4784294.33,4093487.17,17407170.60,13798435.25,10399446.98,6878130.49,17170238.29,13254618.19,8429318.64,3606988.34,27537510.28,23328248.10,16118607.48,4832977.58,24905663.47,15160428.44,6955185.44,2810438.01,43335901.63,26080393.88,154173144.03,66573899.01,140707599.40,55245086.28,102138476.64,55849368.53,158036670.74,0,179300838.04,0,181112618.47,0,0,0,200460057.05,0.0
5,营业税金及附加,38013551.08,28734354.35,12385477.93,53957795.25,36643901.48,26823846.21,11050106.47,73407630.03,24181173.52,14113632.36,18202314.43,117983138.18,49207123.00,41760645.32,18211899.06,72757356.75,31496919.75,22326787.95,10181427.55,49322504.45,22749907.83,13971920.50,7817608.88,56239478.17,27504465.47,19426103.00,11715750.95,49132340.08,38816365.26,18181102.84,12960990.02,59576718.65,38433791.55,34468626.18,26702304.37,73605503.66,31626907.85,31060340.22,29904200.99,15766705.53,2308159.04,1963272.14,1438553.31,20611512.72,9882629.33,5472787.49,1559363.69,19771643.54,9891803.45,8723638.82,5374061.62,19428331.54,1293851.92,315516.57,145463.80,372708.17,81526.42,62779.41,34413.97,77869.72,163617.01,133803.30,101909.52,671241.18,615394.96,344618.66,34814.37,407179.12,285866.06,208276.27,-2385.25,41469.39,5926.84,130153.19,11740.63,2274817.19,206889.08,517274.29,369914.96,511049.70,0,693141.16,0,751572.46,0,0,0,10056950.48,0.0
6,销售费用,3114458.73,2042963.74,1136363.43,8356165.15,5132216.71,3715611.95,1780601.52,12433967.39,10003806.44,8936358.32,4730047.82,34022977.71,25995323.89,16342975.42,8062709.07,24109355.95,16004503.83,10658344.02,6203367.34,16723990.68,10849664.83,7287605.38,3662410.78,24341623.41,16259946.83,10825279.72,4588557.23,11741849.02,7592873.55,5504194.48,2942744.39,10379903.55,6002914.56,3701209.23,1436445.75,11010486.08,6162251.76,4437918.26,2068277.60,8409218.07,5789790.44,3756006.86,1475298.54,6759818.20,4474989.56,2784837.23,1196458.95,7743336.17,6032498.56,3684711.49,1582772.84,5318626.61,3377396.41,1930574.86,385447.59,5694969.65,2970449.34,1439210.78,1841761.07,6000435.28,5490390.75,3930409.48,3356887.56,7223143.97,3182516.67,2545173.97,3098763.89,4068095.37,2933516.32,2427036.34,671804.86,6141757.32,2803231.16,8402480.20,4078952.03,8592012.13,4052840.17,6993619.63,3382499.00,8047280.66,0,10593856.06,0,10156474.29,0,0,0,10032864.70,0.0
7,管理费用,78004183.79,47880813.18,20651458.25,137858768.89,74459841.18,67029097.10,44980570.68,156877677.85,127753211.52,79341751.91,33878123.95,178350810.33,107433725.27,69520349.84,30016869.23,75441424.03,53928132.72,34896515.76,18297510.85,69351758.92,57339433.39,36396400.72,11023381.20,44559714.12,28849372.06,17506241.62,6951555.05,54486715.70,42484820.02,21063182.99,10108396.23,43229608.40,29661343.64,21039689.92,9575601.31,39295215.38,26230364.08,18471264.04,10594298.03,40207391.83,19938850.87,14145027.69,6469635.54,36317317.40,19773201.33,13585707.20,5854526.55,32069287.68,22459321.37,14264071.82,7513937.16,22077008.19,18452267.53,12582892.29,5408556.22,30922595.39,14888826.50,15892054.86,7054305.10,30822127.73,15969825.27,11655768.92,7208675.43,23172192.24,12665037.13,10477334.85,5068115.65,38365858.09,16605612.56,11162260.99,4727671.40,49015886.47,11335425.73,18441599.21,2502144.96,13699836.96,2843323.35,11075990.54,3450675.44,11707981.46,0,16420698.01,0,16683896.43,0,0,0,5285228.07,0.0
8,财务费用,163234599.79,110918677.34,54927421.10,1089045398.27,967380047.91,655693744.93,96614414.59,657466764.02,343009335.86,227053736.61,85978509.41,263989674.27,119936650.61,80481841.57,43026946.38,93802181.08,56654278.40,30601581.41,18630722.56,55517018.89,50272517.68,16596077.89,5744450.50,27460039.28,18743433.56,13034980.48,7698467.02,22137299.09,15313364.75,6739644.56,5586631.15,7545068.87,2331154.63,2193722.87,1425785.91,11826284.36,6408969.11,134118.01,2518533.63,19420911.47,13907947.83,9187216.96,4634696.88,31778455.64,20670315.69,10753765.43,5557345.12,22828646.42,13208105.35,10490340.18,5213413.01,12296835.52,8642655.37,3976942.75,1750077.35,7091579.72,5477721.08,3693698.61,1422811.13,7751264.65,4316676.48,2862748.36,1310272.15,8299615.54,10929618.09,6909623.62,3537052.88,14584374.65,9205249.38,6075907.72,3086500.41,14055547.27,3150598.03,7697822.98,2575372.85,1912377.68,64410.65,339396.24,268451.72,712004.70,0,2889336.95,0,1214582.90,0,0,0,-278903.13,0.0
