,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940930,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,9126530306.36,6377147963.66,4057608638.09,9381937874.31,6915445912.15,5041771471.60,3239874445.96,6037481699.12,4855928777.47,3421021601.79,2180892582.12,4404948311.55,3400593440.79,2423189058.88,1470742089.80,4128558454.69,3075580128.86,2245790434.92,1435576590.33,3916067368.51,3009497031.55,2299769957.83,1557415685.84,6087199948.02,5305009038.84,4064597603.50,2795167569.33,6478763909.72,5250978371.48,3815652139.95,2214014117.78,4488148103.84,3563657263.06,2894818754.24,1872396238.86,3016625047.55,2392606141.49,1609207594.98,1032526652.57,2143451866.72,1707376581.49,1094996854.22,613112589.50,1584519277.39,1126019895.91,587880946.58,315603155.51,1846793769.92,1301685789.82,948886421.89,591294233.31,1520833091.05,1187206629.19,827531355.98,588502734.31,1073223874.15,829025296.24,528833614.72,276666895.63,839261702.40,540145349.96,344780928.84,185047071.51,627243026.48,434910761.41,273591467.79,198578248.18,526035775.05,386109118.11,251954116.37,160786705.22,440035022.30,0,207052822.19,372479839.41,174391290.61,303560765.59,140364914.39,250425284.47,115629903.27,451044753.30,230245363.89,441252960.58,232250093.96,328072967.70,172658000.00,465971000.00,318473222.04,228165230.41,598951222.28,422050884.00,324238139.00,253918608.00,0.0
2,营业收入,9126530306.36,6377147963.66,4057608638.09,9381937874.31,6915445912.15,5041771471.60,3239874445.96,6037481699.12,4855928777.47,3421021601.79,2180892582.12,4404948311.55,3400593440.79,2423189058.88,1470742089.80,4128558454.69,3075580128.86,2245790434.92,1435576590.33,3916067368.51,3009497031.55,2299769957.83,1557415685.84,6087199948.02,5305009038.84,4064597603.50,2795167569.33,6478763909.72,5250978371.48,3815652139.95,2214014117.78,4488148103.84,3563657263.06,2894818754.24,1872396238.86,3016625047.55,2392606141.49,1609207594.98,1032526652.57,2143451866.72,1707376581.49,1094996854.22,613112589.50,1584519277.39,1126019895.91,587765312.86,315603155.51,1846793769.92,1301685789.82,948886421.89,591294233.31,1518640972.04,1185673427.89,826712983.03,587650408.88,1071593126.49,827760547.08,527877214.62,275971575.74,837257723.53,538605633.85,344008610.20,184619051.65,625799317.29,433811639.40,272896584.80,198146267.56,515236392.40,375573668.22,242420621.15,154548858.99,433472307.87,0,207038134.51,372471598.72,174388823.54,303288197.33,140358796.63,250016078.34,115624482.97,450632802.57,230022149.78,441190898.82,232217039.37,327994553.58,172632200.00,465913000.00,318455045.81,228144417.53,598906019.61,422028078.00,324220066.00,253915556.00,0.0
3,二、营业总成本,6588964743.16,4602936302.42,2767038366.15,7207856685.80,5002242502.38,3630689178.97,2177316491.77,4653530463.42,3604841246.85,2436234719.63,1433074376.63,3474408752.32,2701254854.73,1873696471.92,1058361090.58,3356857257.73,2550213733.91,1830421943.25,1112221086.50,3407242491.32,2445971039.43,1805364085.61,1107199019.30,4602648039.66,3624195848.51,2670453039.47,1800906454.93,4463623802.00,3426633335.24,2454088448.31,1399548483.89,3123055508.99,2383805763.49,1857191923.10,1144810068.40,2127461038.96,1519113676.13,1068926644.94,635519008.20,1472769124.63,1068731204.80,693164301.68,348834398.14,1098603950.57,760145864.37,462644724.43,279381447.96,1161717889.51,847889811.43,589477723.35,352183582.98,1017555058.43,744548770.48,528805817.13,365211831.51,793302258.05,567051761.10,357021176.08,180814243.96,630904033.48,371110649.22,239848759.63,126419134.25,540504543.97,352764942.51,230420453.33,166114918.25,483351737.40,352729628.31,227211817.54,145394826.46,404085749.51,0,183383060.38,357445813.19,167723856.72,297646281.69,136273962.32,245572972.97,115733899.22,390345287.58,0,379206690.44,0,271519098.76,0,0,226171446.91,0,453012377.88,280744717.00,213678674.00,159685504.00,0.0
4,营业成本,2811976004.52,1820266398.41,1138395929.45,3169832819.92,2113665849.97,1530343413.80,941207251.46,1821019657.65,1486585308.40,989477582.70,621940394.81,1379535580.68,1097587828.96,761205829.49,440779212.21,1347209064.86,1007333227.90,735473798.06,460854886.35,1275222467.50,966342079.83,727629278.92,444910312.62,1517651240.53,1283849283.24,966067819.18,645830663.67,1634439471.33,1258077178.90,910678123.90,509939837.86,1077192250.84,850788844.12,703883118.71,454379398.37,706153649.66,560131932.40,389780183.49,264852420.47,538752760.67,446145867.17,290375802.89,145195371.58,372882180.69,260410938.67,140766355.84,78841117.93,422198638.06,287561050.30,207566050.13,133820880.99,399860031.89,309587182.36,217082229.64,165018569.03,298948146.67,227055973.53,145682404.06,75532279.55,247636335.23,158481724.27,106698601.41,55200061.60,220157299.67,155611131.59,100826002.39,71471254.05,187076334.22,134900518.90,90585876.44,58544018.02,174786432.49,0,88480738.40,160512106.34,75122107.86,135525909.86,62523904.99,117503525.25,52404142.35,202761378.08,0,186906663.53,0,137310578.84,0,0,103763145.55,0,226954785.08,98698595.00,73263261.00,51648182.00,0.0
5,营业税金及附加,1561859151.48,1039382260.03,544794235.04,1795593456.69,1272476281.23,945162920.55,529322821.94,1237807972.41,902547015.01,602887718.72,286268964.66,869232851.92,596747731.33,455051742.10,238843985.71,682342905.80,496970863.10,372372028.72,224660429.24,587594162.08,444014249.20,328923871.85,196133018.86,990111632.37,777408962.41,606125082.79,361639858.39,1082692810.29,833805979.03,615293394.80,348159204.72,811490372.44,642646669.71,475254231.42,251044562.81,512659110.08,361759137.94,258041185.52,150155587.03,368199574.19,274132389.69,184159478.04,99586824.03,244887873.97,168565681.52,98892475.74,48686260.12,287587803.17,202808653.13,145834913.10,90112487.19,280847612.89,225604561.53,165970367.69,119402596.73,227957614.17,177401814.84,113588101.80,59338094.33,187065125.04,118908591.93,73359991.20,41690947.90,151140338.59,106768093.59,67560351.93,49821731.04,143565994.11,108781235.44,75159754.80,48108197.95,119832782.15,0,47699809.43,103815963.86,49560196.75,84982697.26,39502263.52,64362586.93,26993690.33,107770268.74,0,102836724.23,0,73249968.54,0,0,120144395.79,0,191247075.09,138767961.00,107182062.00,83063262.00,0.0
6,销售费用,1658994779.59,1375578224.81,841552156.17,1626982558.49,1240938302.58,907177802.28,572931863.43,1080253631.01,901368268.10,635903642.13,409361755.08,775093338.84,705573176.52,453033138.45,282851263.90,915468116.93,760479410.80,537375680.54,328997681.81,1114147984.03,734691824.53,542072631.69,372329074.69,1666894751.12,1256411453.39,906073129.88,689216726.33,1378306935.97,1055691568.78,740187540.90,446003773.67,921366133.57,650319598.20,525026311.96,367361723.61,581480040.21,399647273.20,313122667.71,173016928.89,363877980.26,231719688.42,148808472.50,69598730.49,309972225.27,229816525.71,161404470.44,125025771.58,362904745.77,275691284.86,187963161.74,101424698.56,212845278.48,127142220.45,97940645.10,55473660.77,159166220.66,91146363.65,55601260.27,25151842.03,116163217.97,49651308.67,29395696.75,15196104.00,93082649.96,54516605.56,40817423.79,34392698.79,94427285.99,77301430.75,41041851.30,28736349.65,61778195.36,0,25388792.89,54805509.80,25054023.29,29941148.86,14218552.07,25471388.44,17667580.92,35407760.71,0,37493852.16,0,26311200.51,0,0,2263905.57,0,4424775.51,6466621.00,4571111.00,2660949.00,0.0
7,管理费用,521010635.58,322899450.55,156814581.04,628429864.71,369461325.55,245944166.54,120308400.52,545581855.46,324690807.77,213666176.72,106288921.80,442367228.68,301213215.24,207863491.05,93328149.54,420034142.61,283350701.54,182801725.89,89181061.06,447835045.60,306103855.45,204390582.28,87165500.86,460389738.89,324804717.66,206302821.96,101076316.89,429467592.90,309925919.49,192082561.42,91256768.34,320330475.39,223424700.20,139172575.16,69903733.63,304320545.56,188515775.43,109470423.68,48239338.42,201930258.81,116173253.56,68818056.76,34778501.43,149448195.65,99456207.42,58608792.82,23482892.98,92055993.02,82838371.31,48033292.85,27468693.74,125710574.89,83229608.29,48259149.59,25273649.89,107736139.74,71579504.59,41832610.93,20529460.92,81528247.81,44938464.61,30493818.85,14251969.12,76704641.63,36185379.96,21296263.80,10346273.54,56489946.55,30889533.42,20220291.36,8598710.10,44802658.27,0,17894180.21,32990667.66,14897992.48,40652382.38,17377254.53,30189838.79,15300343.10,35490830.38,0,40241225.90,0,24108354.64,0,0,0,0,28447994.74,33893284.00,25481373.00,18490323.00,0.0
8,财务费用,23047104.43,35772860.31,64191920.99,-27344298.56,-10307166.77,-4342895.55,-3659811.40,-14548537.86,-9601051.83,-2399601.55,-1904406.34,-17688330.31,-9436571.16,-8189155.73,-4167605.20,-13086314.24,-7640889.85,-3010683.06,-1341290.39,-16594777.32,-12315796.41,-1654622.09,-1687746.09,-40332666.12,-29066522.80,-21831611.31,-4480408.40,-43410184.36,-24088474.32,-15269437.75,-4743811.66,-11654592.07,-3970193.35,-3213188.20,-2076375.30,-4437108.21,-3027344.24,-1717850.23,-1315595.99,-2003964.30,-1686365.06,-899836.38,-473309.31,-647834.28,241513.23,1417193.00,2248381.81,-3523641.76,-2101475.72,-1570845.39,-643177.50,-1708439.72,-1014802.15,-446574.89,43355.09,-505863.19,-131895.51,316799.02,262567.13,-1488892.57,-869440.26,-99348.58,80051.63,-580385.88,-316268.19,-79588.58,82960.83,1792176.53,856909.80,204043.64,1407550.74,2885681.24,0,3919539.45,6071565.53,3089536.34,6444143.33,2651987.21,8045633.56,3368142.52,8915049.67,0,11728224.62,0,10538996.23,0,0,0,0,1937747.46,2918256.00,3180867.00,3822788.00,0.0
