,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,60086157533.69,46251886604.42,30505444958.05,11751081062.43,54687226527.65,44828005152.83,448060340.58,169225154.59,956501182.81,667917532.31,418983441.40,186010465.27,835854094.85,594774663.25,381431428.14,170424979.65,904147458.29,682490790.40,418695328.90,177189660.40,987766597.95,735442463.99,493325838.02,207597762.55,939920806.95,653347570.36,391748442.21,157075235.18,667402352.19,445872459.08,294776081.23,119143746.28,549289140.03,384628387.94,245484182.96,108976915.81,470966770.95,339655811.21,228468161.34,99012469.36,420202614.34,300362655.95,200558544.66,85415099.01,310067000.90,208950692.58,130629154.74,52724923.80,218279122.97,153733011.48,96104421.10,44948537.39,154135723.75,111121987.37,72036028.54,30849845.13,143026958.65,105748987.99,75112575.19,33552585.26,122427449.63,85949116.02,56874705.65,27818664.63,101162781.78,70613807.89,47192361.43,21876465.92,91561247.76,89014056.32,0.0
2,营业收入,60086157533.69,46251886604.42,30505444958.05,11751081062.43,54687226527.65,44828005152.83,448060340.58,169225154.59,956501182.81,667917532.31,418983441.40,186010465.27,835854094.85,594774663.25,381431428.14,170424979.65,904147458.29,682490790.40,418695328.90,177189660.40,987766597.95,735442463.99,493325838.02,207597762.55,939920806.95,653347570.36,391748442.21,157075235.18,667402352.19,445872459.08,294776081.23,119143746.28,549289140.03,384628387.94,245484182.96,108976915.81,470966770.95,339655811.21,228468161.34,99012469.36,420202614.34,300362655.95,200558544.66,85415099.01,310067000.90,208950692.58,130629154.74,52724923.80,218279122.97,153733011.48,96104421.10,44948537.39,153868601.71,110942702.69,72002004.13,30874509.55,142673483.48,105831188.51,75323724.53,33633017.57,121775380.19,85387798.10,56483617.82,27694873.75,100891339.17,70449010.64,47052657.27,21825465.89,91520448.36,88838595.06,0.0
3,二、营业总成本,56415721592.06,43110119080.46,28303885840.15,10711870620.33,50697566242.52,41921019003.01,384166512.31,159603553.61,816829399.68,570305839.94,356003128.99,170540726.23,726847254.05,489400199.07,314971141.52,151982402.12,767973248.04,592125566.25,360374357.61,156949231.74,862426253.58,622525855.48,416755615.25,169967557.45,831311031.00,552065893.39,336924227.91,144964987.90,610747917.72,401644323.75,265986237.47,110085383.16,499655895.69,336221041.31,208108435.74,93594849.90,390324183.04,275257887.20,182242344.69,82920285.48,347718369.89,248563559.31,164380471.10,70845548.76,266952643.98,184452949.35,117957182.13,48713441.07,197672299.68,135730219.13,83793186.25,40081989.03,128795205.54,93510255.49,61076105.01,27162951.09,125589644.71,94748884.52,67901728.66,31902207.00,106970123.90,71035209.04,46236470.34,22561430.72,79976085.05,55984435.07,36907759.57,18169589.02,72413348.23,68702431.90,0.0
4,营业成本,50152964669.95,38630627886.55,25381381629.62,9364798807.60,43560371483.88,36927541525.48,275016618.99,115024211.83,564985301.93,411122131.86,253368229.98,120460074.02,470069671.91,334358363.53,214982571.99,103385785.79,520790155.47,428083924.72,255284677.25,104913240.49,583005628.48,449170249.03,301912875.58,122996195.54,568585414.36,403701377.41,245419365.07,104498464.06,453830458.34,305668642.51,202458364.37,84729275.77,372207082.20,257318036.79,160863410.66,72414963.46,291379036.87,207625189.72,138381465.77,62932941.48,254672258.19,184586163.98,122991831.10,52340636.29,214577708.87,150950458.33,95778525.55,38729232.93,160842489.36,102251665.02,64397806.50,31222046.79,101135633.14,72247506.76,47025991.94,21146200.87,102522176.16,77666347.90,56079026.43,25867269.96,82537463.37,56320114.12,36313953.52,17782677.58,64003298.90,44912940.13,29745560.76,14732703.97,58839768.77,56113960.71,0.0
5,营业税金及附加,566174073.56,423394614.83,293389081.08,153301337.43,645373997.62,501063236.75,6960654.52,1778772.40,18467090.62,7608462.95,4908453.66,2292768.75,12035199.00,7382501.40,5560037.09,2700541.52,15952959.01,12040457.64,7828251.62,3131182.27,16193065.10,11509144.91,7566121.35,3230561.84,15618248.50,10993244.71,6366645.29,2403020.03,9939771.79,5930635.05,4089219.68,1490750.37,7829984.45,5052410.64,3114672.64,1311467.10,6083426.36,4382939.57,2963500.14,1272423.08,6119685.40,4222919.62,2825768.16,1238811.65,3587624.05,2054518.83,1157275.89,486578.76,2284667.06,1652610.23,989256.79,418434.98,1606600.86,1185862.98,783913.92,331632.16,1306252.81,986744.86,748335.04,336589.97,1085066.18,820642.83,512902.13,245530.35,910589.20,663178.89,439737.93,207164.45,824929.67,848344.22,0.0
6,销售费用,228103021.41,212007590.05,142594233.28,67049295.05,278122108.96,219517952.27,28872240.97,11364139.82,58706698.24,43714467.71,28359545.23,11982267.15,55708146.71,43688783.46,29161258.92,11581967.81,54024858.64,41578438.85,26490564.29,11553784.97,63564801.18,52145647.05,35496640.32,13804022.20,55691178.74,31945273.64,19183171.58,6814840.96,36018624.93,17002582.91,10480496.49,3378504.05,25683437.37,15018093.21,9821506.98,4601392.15,20893455.54,14238159.32,10009512.96,5206405.74,19142131.94,12048534.21,8089192.98,3202980.39,11137556.08,6222629.86,3645304.57,1707533.85,8796696.55,5752319.91,2768188.36,1427876.84,2611045.97,1430426.83,987388.09,559903.48,3881566.83,3541675.95,3177800.67,1633420.03,4681337.84,2867295.00,1908081.61,882407.84,2392938.22,1644701.95,957460.19,554876.78,1847050.15,1357700.11,0.0
7,管理费用,3035405107.44,2007703927.93,1291723452.48,620084810.06,3419023180.40,2004309801.46,69178744.82,31629465.64,164044432.50,102327168.38,66816397.81,33821551.79,161451246.77,103957954.15,68047372.81,32859280.75,171225267.52,111355639.25,71130319.85,37138750.49,177798511.22,108570036.57,70420539.17,30639486.85,164733613.41,104347700.54,64587286.18,31480126.75,108983028.72,71137843.72,46594674.87,20887760.13,90186595.10,60017240.55,34931656.58,15662769.41,71935338.56,48498876.58,29773290.66,13667959.41,66675209.75,47938607.33,29395454.20,14153718.32,38570067.01,25882649.63,15984097.95,7557069.57,24670109.28,26940210.41,16337502.47,7705157.98,25532425.71,19649562.06,12712124.13,5193765.84,18988427.57,13551528.82,8790881.11,4176436.86,18218262.18,10505189.75,6869196.40,3219891.44,10797132.68,7614853.26,5054780.97,2319946.53,9986261.60,9044785.05,0.0
8,财务费用,1189019490.51,855636613.00,606606352.08,317459289.20,1390508337.21,1045654967.31,817598.45,281260.69,7979597.66,5326752.45,4690403.31,3715174.30,14038100.14,8408983.87,5473022.48,1454826.25,563001.34,-1405741.94,-832303.13,212273.52,1057.43,-228184.94,475.97,-102708.98,-1279014.99,-860514.31,-571051.61,-231463.90,-1650965.57,-1120849.49,-1017872.66,-400907.16,-2342625.31,-1935828.31,-1667103.60,-395742.22,-2247796.33,-1132283.33,-530430.18,-159444.23,-1498041.75,-918644.49,-666745.77,-90597.89,-1987792.60,-1381226.46,548029.81,233025.96,-2593153.85,-1109359.84,-942341.27,-691527.56,-2090500.14,-1003103.14,-433313.07,-68551.26,-1108778.66,-997413.01,-894314.59,-111509.82,447994.33,521967.34,632336.68,430923.51,1872126.05,1148760.84,710219.72,354897.29,915338.04,1337641.81,0.0
