,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,63543389320.94,41176085703.22,22235909846.08,70516654453.22,52692194491.87,34397398611.99,18767182733.10,58591343430.31,43307846576.38,28316886218.71,15261389125.31,49231645818.26,37015263851.02,24517857974.47,13415878672.77,42144829561.56,31443996836.19,20834832928.50,11197681935.44,36726802955.31,26945169863.34,17703390185.79,9338974439.21,30542816684.11,22013702334.65,14412739361.49,7609064589.61,24684317980.29,17890816602.19,11711831501.22,6223550539.30,17731555790.38,12474297901.61,8027943503.94,4230757786.79,12316503735.92,8742631372.83,5611136081.94,2836052099.54,8474815787.28,5678162169.46,3673170460.00,0.0
2,营业收入,63543389320.94,41176085703.22,22235909846.08,70516654453.22,52692194491.87,34397398611.99,18767182733.10,58591343430.31,43307846576.38,28316886218.71,15261389125.31,49231645818.26,37015263851.02,24517857974.47,13415878672.77,42144829561.56,31443996836.19,20834832928.50,11197681935.44,36726802955.31,26945169863.34,17703390185.79,9338974439.21,30542816684.11,22013702334.65,14412739361.49,7609064589.61,24684317980.29,17890816602.19,11711831501.22,6223550539.30,17731555790.38,12474297901.61,8027943503.94,4230757786.79,12316503735.92,8742631372.83,5611136081.94,2836052099.54,8474815787.28,5678162169.46,3673170460.00,0.0
3,二、营业总成本,61869406770.01,39796017267.55,20970939308.33,69920918923.23,52110370003.17,33719785679.78,17983725640.29,56764808446.43,41801972680.01,27142122365.93,14393592752.21,47909011158.77,35945120219.43,23701248082.75,12854250905.61,41325934031.78,30751487390.61,20292225714.04,10800174795.46,35892444349.42,26304164510.52,17240072613.83,9015618259.06,29758620237.05,21424827895.99,13991392229.61,7301124481.82,24119276411.75,17492947842.36,11476339978.51,6076463561.62,17164740230.26,12006047152.41,7680677123.70,4029812721.33,11924799028.26,8470642690.66,5432980583.26,2718404884.16,8146659041.78,5393616753.45,3481787163.67,0.0
4,营业成本,49639305294.62,32184412544.20,17185363616.62,54899739654.21,41191129784.68,26687300372.45,14490293636.20,46382795336.34,34511121219.44,22527629158.04,12066971984.28,39291926987.95,29598439890.64,19561147917.20,10668777824.33,33785437572.62,25251688765.49,16693848399.12,8971080894.39,29506888810.07,21749568055.14,14263027897.02,7532652416.29,24681910829.96,17768688635.66,11623034023.06,6133474539.01,19859025892.76,14406289603.54,9488862858.97,5106087113.16,14318206235.32,10062839589.17,6493798181.41,3457457490.84,9961855261.89,7118202019.05,4566665237.51,2306317555.53,6957994410.61,4662637409.87,3041291352.01,0.0
5,营业税金及附加,172792227.89,110492669.57,60795978.23,237484758.42,179534702.32,122350015.98,60611912.86,209423777.89,151128266.53,101739018.45,54054725.77,218985978.96,131593908.87,100081376.97,65598111.20,206535001.98,152193306.99,101304053.63,54114276.21,175659203.15,124373565.31,80452856.25,44494884.33,138701245.11,102964814.32,64316736.06,31686134.36,115166885.79,84630350.49,52946097.16,27788961.42,82890032.43,54811923.27,32937312.87,17671195.39,47270347.63,34389153.45,22167502.58,12117463.26,29855544.31,22149461.61,15057544.73,0.0
6,销售费用,9987448545.35,6255717556.04,3157784907.61,11560294075.08,8406401317.52,5472138688.57,2718229298.84,8451613884.82,5988790962.33,3800817854.35,1959707565.73,7165231150.48,5383437276.61,3534010448.01,1873356853.02,6376537902.06,4687001085.44,3055584908.09,1539610465.74,5263876099.47,3764633705.28,2452628974.39,1205050793.96,4148221464.15,2964480396.61,1906122702.42,911815190.86,3329138238.38,2467992178.44,1590386806.56,776435505.99,2294512700.80,1613624853.54,996446791.33,469344904.38,1557707985.68,1068950975.96,689002036.92,327845532.69,946608554.65,577188223.30,336094645.31,0.0
7,管理费用,1832964293.25,1094302965.02,477634350.79,3007200280.24,2234874221.27,1389571417.60,685346509.17,1781080184.44,1268350821.15,789917562.17,332858776.94,1288541155.39,855015796.23,512785694.39,257380169.80,969908236.95,658500899.89,415835283.26,208150542.33,828077849.00,571561569.49,388266345.68,205403660.39,705267458.63,505139329.02,334856593.09,197763464.16,643905876.23,409968962.89,260704503.20,121393482.05,403633512.19,248824786.73,146094544.12,78787956.18,281945245.08,199441291.52,127012243.97,58986901.43,171907923.09,108294726.35,74353540.46,0.0
8,财务费用,236896408.90,151091532.72,60964728.68,147537247.40,58918641.21,45452097.67,29168431.20,-82768359.43,-119583638.31,-80244137.29,-20081807.41,-74196240.11,-31458457.98,-7248119.28,-10871029.74,-24579971.30,-2141092.37,22914268.40,25125042.71,104087656.39,81236250.62,51173215.26,28016504.09,82006969.31,67350997.78,46858452.38,26385153.43,147962831.06,119473914.33,78846879.95,44758499.00,49395415.55,24907637.57,10361931.84,6551174.54,70381912.31,51950376.52,30069341.03,12293955.59,36778127.23,21996249.93,13428153.18,0.0
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,28395726.40,68662907.88,39511336.17,2973087.51,75852.02,22663622.37,2165048.87,2262910.21,81506.90,18522126.10,8091805.06,470765.46,8977.00,12095289.47,4244425.17,2738801.54,2093574.08,13854731.34,12791364.68,4523325.23,0,2512269.89,16203722.60,16203722.60,0,24076687.53,4592832.67,4592832.67,0,16102333.97,1038362.13,1038362.13,0,5638275.67,-2291125.84,-1935778.75,843475.66,3514481.89,1350682.39,1561927.98,0.0
11,公允价值变动收益,15817500.22,-171691426.65,-181676093.45,33145833.45,65763335.19,65763335.19,63218525.08,-80552906.15,-35358531.36,-31481881.16,-17896936.54,7491499.77,-14509698.00,-15097929.00,-16274391.00,15203841.40,-4207781.60,35269054.40,18222626.40,1914523.54,183529285.53,99995583.68,65584277.14,17892165.10,1080149.00,-2030680.12,-647011.39,-10513176.04,-8568907.84,-1763969.14,0,0,0,0,0,0,0,0,0,0,0,727590.00,0.0
12,投资收益,-20999960.79,253256829.19,223753519.19,548256926.15,219676129.81,174772392.45,-28256814.53,145085619.78,77369607.18,68165000.10,25667209.05,167469633.33,-75948428.11,-12733434.91,6893455.83,-73356444.67,-12392282.94,8582838.13,4594373.77,219568065.39,3997160.67,5187706.27,-7725247.61,-837418.68,0,0.00,0,13480298.28,13480298.28,-12515.10,0,21578801.72,0,0,0,0,0,0,0,0,-248909.07,1007755.51,0.0
13,其中:对联营企业和合营企业的投资收益,-244975964.30,-149319313.22,-71625202.28,130222860.97,178965089.46,158190184.60,13414870.50,-55340323.51,6205382.28,8273520.97,-12440465.86,-121306196.05,-97526059.55,-28832027.90,6893455.83,-89277532.44,-28320811.53,-7018895.46,4586932.95,-4728506.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1663635867.50,1483186650.13,1325106111.68,1264461158.96,903510970.86,938125757.07,820643553.46,1940644964.51,1547884972.19,1211446971.72,875566645.61,1497595792.59,979685505.48,788778527.81,552246831.99,760742926.51,675909381.04,586459106.99,420324140.15,1055841194.82,828531799.02,568500861.91,381215209.68,801251193.48,589954587.66,419316451.76,307293096.40,568008690.78,402780150.27,233715038.47,147086977.68,588394361.84,468250749.20,347266380.24,200945065.46,391704707.66,271988682.17,178155498.68,117647215.38,328156745.50,284296506.94,193118641.84,0.0
16,加:营业外收入,166491836.47,116464232.79,48633444.80,232779515.14,145472700.82,88773395.33,46300495.16,166541128.98,141839215.89,97140889.87,44946584.04,179144387.57,119135056.36,77335342.20,31511283.21,181451324.94,120910752.70,84758577.63,35031064.11,122980826.85,69108764.42,45777881.96,20004708.64,180432009.03,143289506.25,103731307.67,50850572.52,126592242.75,67797404.68,47346703.71,19871309.69,36109673.10,22849129.29,14175228.20,3511100.63,18590824.92,12199435.86,7939033.36,2964111.68,13571696.95,5658023.49,7390251.16,0.0
17,减：营业外支出,21234699.96,11807766.93,3867675.49,48223881.25,34746695.26,22385510.74,9024123.65,74030406.24,40962952.29,21904287.10,8354884.57,120250217.49,56789054.34,25644212.30,8899252.67,144868719.89,64440567.79,24503423.98,7689845.94,94530842.40,60474465.16,34562139.88,7503240.19,36220986.78,25995574.79,17129920.68,6957156.69,30982919.62,25176520.68,18071975.30,7881774.70,21718236.40,13884194.46,11109517.38,3215639.44,11198374.68,8511210.21,6244477.74,1166921.64,10143012.16,6894298.00,7610395.67,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,4724981.18,0,0,15495167.94,8799415.99,3382737.37,68554122.33,27462322.04,12076474.10,0,85017816.64,29825620.63,7748657.23,1534913.75,53259751.08,5697024.00,2768581.73,0,3248037.62,919716.07,919716.07,0,4520581.34,28286.98,28286.98,11454.29,2228245.30,1299502.00,2871.33,1459.47,926096.46,49700.60,49700.60,558.91,1580074.50,3927534.68,197351.92,0.0
19,四、利润总额,1808893004.01,1587843115.99,1369871880.99,1449016792.85,1014236976.42,1004513641.66,857919924.97,2033155687.25,1648761235.79,1286683574.49,912158345.08,1556489962.67,1042031507.50,840469657.71,574858862.53,797325531.56,732379565.95,646714260.64,447665358.32,1084291179.27,837166098.28,579716603.99,393716678.13,945462215.73,707248519.12,505917838.75,351186512.23,663618013.91,445401034.27,262989766.88,159076512.67,602785798.54,477215684.03,350332091.06,201240526.65,399097157.90,275676907.82,179850054.30,119444405.42,331585430.29,283060232.43,192898497.33,0.0
20,减：所得税费用,319176870.06,222064052.30,241729783.84,451614260.61,302006443.65,257760916.20,204672332.78,348481700.45,334786111.50,268988800.24,186307533.02,342764502.59,235959365.24,176657817.04,110216354.39,197255621.20,136717537.34,120576924.56,83859298.24,231602956.48,187283810.28,126221397.23,87759178.77,223782174.51,156513794.78,116289848.06,74910715.68,160570424.58,109088984.12,70358179.72,40601243.85,135218883.77,105458082.34,80635942.76,45604905.00,94013627.61,64275683.63,41840386.04,26305473.71,74715951.24,66430894.82,61464350.69,0.0
21,五、净利润,1489716133.95,1365779063.69,1128142097.15,997402532.24,712230532.77,746752725.46,653247592.19,1684673986.80,1313975124.29,1017694774.25,725850812.06,1213725460.08,806072142.26,663811840.67,464642508.14,600069910.36,595662028.61,526137336.08,363806060.08,852688222.79,649882288.00,453495206.76,305957499.36,721680041.22,550734724.34,389627990.69,276275796.55,503047589.33,336312050.15,192631587.16,118475268.82,467566914.77,371757601.69,269696148.30,155635621.65,305083530.29,211401224.19,138009668.26,93138931.71,256869479.05,216629337.61,131434146.64,0.0
22,归属于母公司所有者的净利润,1538336381.06,1369368746.85,1123920977.38,1480353302.45,1017847463.08,933488337.29,747890611.83,1816794118.18,1392391490.66,1055218399.21,743756466.92,1242005725.00,815486769.49,669679271.25,472078199.12,605328259.90,597132692.96,526520579.09,363835984.85,851560411.19,648902918.15,452737204.96,305656355.05,720581180.35,549927874.72,389046225.83,275912726.61,502116157.79,335587164.34,192242398.17,118262461.92,466920162.02,372082014.23,269835969.85,155428877.44,305535663.23,211548658.57,138297033.10,92931304.79,254292896.93,213707760.56,129816084.74,0.0
23,少数股东损益,-48620247.11,-3589683.16,4221119.77,-482950770.21,-305616930.31,-186735611.83,-94643019.64,-132120131.38,-78416366.37,-37523624.96,-17905654.86,-28280264.92,-9414627.23,-5867430.58,-7435690.98,-5258349.54,-1470664.35,-383243.01,-29924.77,1127811.60,979369.85,758001.80,301144.31,1098860.87,806849.62,581764.86,363069.94,931431.54,724885.81,389188.99,212806.90,646752.75,-324412.54,-139821.55,206744.21,-452132.94,-147434.38,-287364.84,207626.92,2576582.12,2921577.05,1618061.90,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.160000,0.140000,0.120000,0.150000,0.110000,0.100000,0.080000,0.190000,0.150000,0.110000,0.080000,0.140000,0.100000,0.080000,0.120000,0.160000,0.160000,0.140000,0.110000,0.260000,0.200000,0.140000,0.190000,0.460000,0.360000,0.253000,0.360000,0.650000,0.440000,0.250000,0.150000,0.610000,0.480000,0.350000,0.200000,0.460000,0.320000,0.210000,0.140000,0.390000,0.320000,0.200000,0.0
26,稀释每股收益(元/股),0.160000,0.140000,0.120000,0.150000,0.110000,0.100000,0.080000,0.190000,0.150000,0.110000,0.080000,0.140000,0.100000,0.080000,0.120000,0.160000,0.160000,0.140000,0.110000,0.260000,0.200000,0.140000,0.190000,0.460000,0.360000,0.253000,0.360000,0.650000,0.440000,0.250000,0.150000,0.610000,0.480000,0.350000,0.200000,0.460000,0.320000,0.210000,0.140000,0.390000,0.320000,0.200000,0.0
27,七、其他综合收益,626469.22,507531.26,-1165840.85,995620.35,1099567.84,234920.95,0,296430.49,0,0,0,73775.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,1490342603.17,1366286594.95,1126976256.30,998398152.59,713330100.61,746987646.41,653247592.19,1684970417.29,1313975124.29,1017694774.25,725850812.06,1213799235.69,806072142.26,663811840.67,464642508.14,600069910.36,595662028.61,526137336.08,0,852688222.79,649882288.00,453495206.76,305957499.36,721680041.22,550734724.34,389627990.69,276275796.55,503047589.33,336312050.15,192631587.16,118475268.82,467566914.77,371757601.69,269696148.30,155635621.65,305083530.29,211401224.19,138009668.26,93138931.71,256869479.05,216629337.61,131434146.64,0.0
29,归属于母公司所有者的综合收益总额,1538962850.28,1369876278.11,1122755136.53,1481348922.80,1018947030.92,933723258.24,747890611.83,1817090548.67,1392391490.66,1055218399.21,743756466.92,1242079500.61,815486769.49,669679271.25,472078199.12,605328259.90,597132692.96,526520579.09,0,851560411.19,648902918.15,452737204.96,305656355.05,720581180.35,549927874.72,389046225.83,275912726.61,502116157.79,335587164.34,192242398.17,118262461.92,466920162.02,372082014.23,269835969.85,155428877.44,305535663.23,211548658.57,138297033.10,92931304.79,254292896.93,213707760.56,129816084.74,0.0
30,归属于少数股东的综合收益总额,-48620247.11,-3589683.16,4221119.77,-482950770.21,-305616930.31,-186735611.83,-94643019.64,-132120131.38,-78416366.37,-37523624.96,-17905654.86,-28280264.92,-9414627.23,-5867430.58,-7435690.98,-5258349.54,-1470664.35,-383243.01,0,1127811.60,979369.85,758001.80,301144.31,1098860.87,806849.62,581764.86,363069.94,931431.54,724885.81,389188.99,212806.90,646752.75,-324412.54,-139821.55,206744.21,-452132.94,-147434.38,-287364.84,207626.92,2576582.12,2921577.05,1618061.90,0.0
