,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,560367354.58,341322176.05,200468502.15,85131044.58,566233702.35,425442580.86,278095257.36,141256966.07,628779607.76,453599446.10,309268486.62,132015188.41,512390368.91,350437333.54,238405394.70,122568246.49,575718355.28,452008611.78,304333407.61,170569774.79,615810322.31,419054912.90,271575637.21,135287730.58,450433205.85,326934400.00,198532298.09,87965741.80,337332771.27,247493600.00,306119890.85,270679985.18,138848800.00,0.0
2,营业收入,560367354.58,341322176.05,200468502.15,85131044.58,566233702.35,425442580.86,278095257.36,141256966.07,628779607.76,453599446.10,309268486.62,132015188.41,512390368.91,350437333.54,238405394.70,122568246.49,575718355.28,452008611.78,304333407.61,170569774.79,615810322.31,419054912.90,271575637.21,135287730.58,450433205.85,326934400.00,198532298.09,87965741.80,337332771.27,247493600.00,306119890.85,270679985.18,138848800.00,0.0
3,二、营业总成本,488398678.55,314660779.15,199489038.49,94027595.92,549235805.65,407718490.73,264539121.74,134575599.32,553344759.91,397171278.58,257419113.26,111180816.89,474993835.64,329735847.48,219976502.68,109911399.98,476035699.54,365080315.81,238948347.34,121600268.64,423507566.11,271959244.64,177408391.99,88700464.08,278905532.88,0,114737726.33,50617057.10,182608351.27,0,179866536.24,176755846.38,95002200.00,0.0
4,营业成本,341637834.45,213928561.41,134157451.76,61747065.97,408055740.60,309461051.29,198331977.21,98539873.98,394901634.40,278895639.28,178978444.02,78237906.62,347293071.10,246631082.73,173280322.62,85284796.34,369504345.05,264639295.32,166194592.87,79284398.56,294256013.45,187109014.00,125707915.72,65767176.43,196946069.66,0,88038857.76,40987037.60,146909252.78,0,134063064.54,127740605.25,74984000.00,0.0
5,营业税金及附加,10443275.85,5934341.85,4213022.96,2532806.69,8855471.75,5713353.12,4530476.34,2054602.29,8825826.11,6389970.06,4407854.04,2135939.88,7278708.50,3741676.87,2458521.79,1174200.49,7431123.71,6001507.07,4628356.58,1794506.24,1618152.92,335560.30,335560.30,335560.30,2498781.71,0,0,0,243696.65,0,1654054.19,752999.69,163300.00,0.0
6,销售费用,1036969.42,791200.34,647671.64,320664.28,2011487.69,1153596.92,791214.05,441676.10,2137404.91,1690862.56,920030.22,426774.00,2405754.22,1697849.44,1070405.96,524944.35,2523065.73,2076983.31,1277121.01,362417.44,1971619.02,993501.86,595685.64,426129.57,1703091.50,0,722283.41,357625.70,2259702.32,0,1602900.34,2564081.56,1539600.00,0.0
7,管理费用,40186987.90,27652349.46,18469431.48,10629188.71,39349298.76,35338734.60,73833309.02,33153335.04,149174771.10,108050797.84,73461694.29,33613099.11,139521920.89,89461560.30,51368694.16,22892229.88,131613224.49,121149822.15,88385536.68,52179586.16,132718524.73,92494962.02,55001194.89,24657694.82,73985784.13,0,24252352.39,9160039.46,37445470.08,0,40130252.18,45405495.95,17630000.00,0.0
8,财务费用,-28109327.01,-24533582.09,-11443536.32,-2958426.03,-32065120.78,-24430025.15,-13091310.84,529057.51,-1330986.10,2527429.89,-238894.72,-2207407.34,-22955647.07,-12013365.42,-8259516.22,-108754.28,-32104163.87,-26730710.61,-19611464.36,-11574374.52,-7924590.80,-9217948.94,-4599447.73,-2550679.77,1503726.59,0,1686880.70,112354.34,-4646861.75,0,2249892.05,260879.13,633100.00,0.0
9,研发费用,123202937.94,90887908.18,53444996.97,22101390.69,121829120.55,80416081.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
