,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20141231,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,372955206.41,260211477.99,138538479.29,548981328.56,415231513.22,291179452.74,151007790.43,450078558.76,334893220.51,232047186.52,116350462.69,325550243.32,226012069.88,144653986.81,58197994.26,249896747.69,237820053.21,122144780.43,227858750.95,188897396.08,170994378.25,0.0
2,营业收入,372955206.41,260211477.99,138538479.29,548981328.56,415231513.22,291179452.74,151007790.43,450078558.76,334893220.51,232047186.52,116350462.69,325550243.32,226012069.88,144653986.81,58197994.26,249896747.69,237820053.21,122144780.43,227858750.95,188897396.08,170994378.25,0.0
3,二、营业总成本,301014343.71,196942873.63,98958554.08,421698326.99,303102574.02,203550283.34,102003297.85,328023694.75,232004153.26,155562454.43,75176760.40,231414689.67,155849833.20,99016616.04,39824844.63,185668149.28,177027341.01,88457462.53,167168947.01,136842891.48,123455486.32,0.0
4,营业成本,234690192.69,153922349.59,78733954.99,315803094.76,235807385.17,159609569.17,79798022.76,248000584.35,187443033.08,127652186.38,59930822.29,169241468.00,123323322.12,77796429.71,30227576.79,144850752.46,137738474.41,69740643.74,131101429.07,105124249.08,93675272.30,0.0
5,营业税金及附加,1717639.31,1401871.11,874138.71,2761293.97,2185121.61,1547347.94,720042.09,2306765.93,1722683.35,1181869.01,492807.83,3314577.87,715240.15,485122.26,119198.90,1044386.25,742989.35,402355.09,883221.15,790530.99,699995.54,0.0
6,销售费用,23167650.24,14635925.16,7363023.17,38549349.18,25388882.19,17375540.34,8132325.26,30957008.46,20685980.13,13495282.80,7073947.00,23359423.75,14335795.80,9185693.92,4062079.25,16906247.47,16033208.22,7768667.51,15758294.35,11657097.73,9074403.15,0.0
7,管理费用,25452198.36,16663625.20,7042530.06,43102280.77,25033825.52,27503215.05,13395952.94,50167194.78,24272500.55,15379900.14,7302172.57,34490092.47,17824316.09,12062451.92,5468923.38,24539091.75,22852251.91,10266336.95,21179430.62,21103850.21,19708424.62,0.0
8,财务费用,-4348039.37,-2647618.26,-641648.16,-3844108.23,-3731615.46,-2866876.45,-43045.20,-4031203.80,-2179562.39,-2206302.44,377010.71,-828470.10,-787562.28,-951803.09,-52933.69,-1959920.05,-1350016.73,-514867.32,-2258057.94,-2297695.64,85731.63,0.0
