,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,34148206781.36,24570372938.75,16329395889.87,7658744187.80,32658767104.36,23578179365.52,14407151007.67,5727186101.38,22963277840.85,16865071884.63,10778064404.99,4646325586.81,17476987642.20,12247021070.26,7709336904.38,3277952265.42,14640079440.40,10791280530.66,6766194984.38,2888098820.52,14755380130.68,10994548939.22,6920258094.38,3020558102.84,12829407990.14,9324026138.71,5795003928.74,2357246302.42,9448370249.21,7020294711.84,4729742168.78,2443849300.06,11841943381.20,9028145683.85,6595886474.33,4526456359.94,0.0
2,营业收入,34148206781.36,24570372938.75,16329395889.87,7658744187.80,32658767104.36,23578179365.52,14407151007.67,5727186101.38,22963277840.85,16865071884.63,10778064404.99,4646325586.81,17476987642.20,12247021070.26,7709336904.38,3277952265.42,14640079440.40,10791280530.66,6766194984.38,2888098820.52,14755380130.68,10994548939.22,6920258094.38,3020558102.84,12829407990.14,9324026138.71,5795003928.74,2357246302.42,9448370249.21,7020294711.84,4729742168.78,2443849300.06,11841943381.20,9028145683.85,6595886474.33,4526456359.94,0.0
3,二、营业总成本,32691677110.50,23388683539.12,15740074873.45,7398201142.59,31037675037.57,21769055256.09,13405922908.01,5415308559.15,21117790311.30,15702104733.26,10113743009.54,4356175308.81,16601000131.10,11860503469.33,7550523019.35,3183630748.76,14429484151.49,10518225417.20,6504471072.78,2742101062.60,14410860790.03,10881824027.65,6841509802.28,3005384971.97,12835308164.99,9253438806.80,5757590342.22,2358490935.88,9224655621.49,6809213974.74,4623579696.69,2344277011.04,11073846027.85,8341169940.51,6042023253.24,4343103488.09,0.0
4,营业成本,31239564406.65,22332729741.28,15031962374.98,7087241678.28,29693321115.01,20896409311.01,12921290308.73,5247181264.49,20131563625.51,15011727131.19,9702333646.62,4189589291.12,15860697354.43,11346736072.52,7217167657.12,3056124771.76,13760296843.16,10076584366.81,6259628803.26,2632262709.37,13966670557.96,10543551512.41,6628840967.18,2907127500.65,12483923191.94,8996252555.97,5599876893.57,2284563574.44,8934255941.98,6604707902.27,4503849923.73,2254896326.72,10857254247.08,8157624885.32,5908346440.61,4253429759.19,0.0
5,营业税金及附加,53524288.24,37566884.12,21771195.78,7873687.52,50131742.93,41755285.19,23079172.92,6324416.43,49866318.40,34622927.31,18634236.51,7618455.37,28529543.00,7721487.29,5919225.45,1839686.34,10249017.58,9210108.01,6019428.45,2390974.59,14012465.23,9237939.64,4981591.65,959613.96,6648802.61,4042901.92,936571.29,236721.02,6191376.45,3919787.42,2938990.28,1431485.46,17333691.34,13705145.44,4724651.97,2306198.99,0.0
6,销售费用,153889427.26,98599509.48,64874093.19,26017857.42,102375819.82,69735132.40,44618057.28,17710214.21,67021820.44,51404554.94,37033349.99,13177030.88,70155371.85,43789954.17,34385823.00,8171039.45,52897920.22,33805038.17,16134784.96,9677099.98,39533221.59,29502333.86,18518371.21,9399616.18,29680949.51,18219427.88,9805859.51,4442897.76,22848895.63,13713536.27,8883282.33,3918897.70,15162830.29,11301639.26,9996417.11,8450341.05,0.0
7,管理费用,285808313.47,207524471.30,136306311.13,71069401.61,223142510.05,152990688.30,313569850.84,121026092.75,703167889.83,467200467.60,253728399.07,81930051.83,379119423.51,266428797.11,162575717.63,68873569.27,311521523.82,194321898.27,120381395.24,46328707.75,238942408.57,176763554.38,110900428.15,45737199.43,217120239.70,168207674.41,104485137.37,46000663.68,218346659.74,155495314.70,83725479.99,73572040.57,157413471.09,154838405.74,113438707.80,67895149.49,0.0
8,财务费用,276486437.05,206652356.96,144967567.68,70159768.40,246304208.87,177709997.10,100678955.02,21676523.10,157590242.13,129036928.59,92501903.30,47735288.80,260663258.41,190087134.66,129408936.56,54869034.08,278053593.14,200492292.48,100963242.72,49411468.41,156402371.92,124643752.72,80143509.45,42518494.47,96680861.85,66757776.62,42527410.48,23288608.98,41086894.12,31227600.89,21118628.43,10595873.53,23495783.01,3699864.75,5836143.51,10703261.61,0.0
9,研发费用,682404237.83,505610575.98,340193330.69,132585029.64,644874473.27,428112717.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,553518.62,77525167.62,2342124.19,2686563.22,1390048.17,8580414.99,8112723.63,9511474.05,16125190.81,1835179.90,5740023.58,1065659.59,-6247352.14,16465253.57,3811713.46,1343418.15,2030102.50,-4700235.24,-1875065.36,-1875065.36,-357452.72,6533541.50,-41530.00,-41530.00,-41530.00,1925853.57,149833.19,3063391.93,-137612.94,3186005.04,0,-319107.76,318777.76,0.0
11,公允价值变动收益,8930680.00,12293700.00,12105820.00,-2772000.00,-9244220.00,3095156.00,3393244.00,1164370.00,1131598.00,4047849.00,4119798.00,3607478.00,-3013538.00,1114060.00,721520.00,1114060.00,-1315250.00,231370.00,-136210.00,-4891460.00,-2604667.03,-2380777.99,3676623.55,-655079.04,294057.03,-1987690.00,-2511800.00,-825000.00,4841037.08,2329237.08,-3551789.69,0,-1943635.48,0,-416397.37,30795.77,0.0
