,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1422979307.34,908473765.52,435549062.21,1575210073.66,1103036206.80,667808546.53,218208501.15,914265517.31,661377061.34,426764828.67,172849803.28,558434058.31,382373662.68,263010082.97,133355695.73,628805296.63,465641720.17,318910587.69,115709322.04,606905688.63,413535098.02,254483736.82,107792209.35,986776146.74,833651214.34,551864079.30,191664901.37,1154114523.68,903360523.83,580962673.21,166745561.31,1331457443.70,965920020.32,568660523.39,1191907901.38,916847466.82,852834997.59,0.0
2,营业收入,1422979307.34,908473765.52,435549062.21,1575210073.66,1103036206.80,667808546.53,218208501.15,914265517.31,661377061.34,426764828.67,172849803.28,558434058.31,382373662.68,263010082.97,133355695.73,628805296.63,465641720.17,318910587.69,115709322.04,606905688.63,413535098.02,254483736.82,107792209.35,986776146.74,833651214.34,551864079.30,191664901.37,1154114523.68,903360523.83,580962673.21,166745561.31,1331457443.70,965920020.32,568660523.39,1191907901.38,916847466.82,852834997.59,0.0
3,二、营业总成本,1335746880.19,849498492.83,417404193.57,1523833716.12,1054346206.62,641207706.49,227910247.81,899973354.22,642739835.36,420145318.14,170995385.55,646257899.11,417390022.68,282073105.91,136768080.23,651198953.87,456574707.68,319234759.98,118586752.67,676113256.23,457829920.10,280390598.08,126139808.42,980069124.17,805058532.70,519153573.34,191479326.92,1062833173.69,841032552.24,543782616.35,168789587.62,1176076896.42,857112949.40,534695187.56,1069468652.68,797875419.64,755243578.03,0.0
4,营业成本,1121281202.10,717228017.82,355667543.93,1271992593.31,896899417.32,553094398.00,185968420.73,762841441.78,551267291.21,355368181.19,143260513.29,478211690.28,322962203.45,220140191.91,112833280.83,531943798.08,396393211.05,271649531.90,106063816.01,515211037.43,353114918.28,216957395.72,93059672.97,779366553.09,645929229.07,421006251.29,149232357.84,852986064.92,672748974.60,428039592.31,126538361.87,945135559.87,680833241.04,417331466.41,827280932.55,592093442.31,564693198.80,0.0
5,营业税金及附加,12774455.52,7901337.85,3419186.16,16234023.96,13691777.06,7295686.83,1722475.53,16020764.58,9877245.40,8204263.64,2310646.32,8166507.07,1427930.85,1290256.85,895084.19,3435364.27,2649847.75,1942917.59,896989.84,2906535.16,1974574.96,1591126.30,940870.56,5408908.98,4735685.93,3060888.70,1154152.99,5285400.75,3460977.58,1238241.74,274165.26,11095038.83,8582850.45,5130940.57,6082457.52,9196457.45,4706872.24,0.0
6,销售费用,73885347.41,44717613.20,19797135.14,96817957.17,58243367.08,29460634.78,12977413.34,63868488.40,39815670.20,22760343.39,9023090.79,52869509.50,29759992.92,19055092.20,7353791.99,45555307.91,23989312.34,14727167.56,6738367.52,47458499.02,27151032.69,18686454.99,8494212.89,84452520.14,61179816.98,36785820.23,16825178.21,80194698.45,59951630.55,38757140.67,14317039.33,92247392.22,68784499.45,43181235.52,105477160.51,107814105.30,93028200.47,0.0
7,管理费用,47703786.48,32667660.63,16574954.73,63797805.20,36930905.57,35352657.49,15583987.16,61742989.18,39141463.21,24924131.04,11899512.26,71755381.40,53175727.73,38319554.55,15233086.92,78389934.82,52995312.25,32310295.93,11254606.03,60413122.67,39479941.01,25779548.57,11496587.50,77158684.71,55512216.73,34922942.58,14103897.62,76688672.23,58563968.59,39509617.30,16358711.09,66365971.08,49419104.29,35661476.30,87336619.56,63783669.25,53865050.22,0.0
8,财务费用,32246733.33,20739909.62,10125316.31,22570013.73,14484849.29,8443762.93,3204293.96,9729637.94,6352417.11,4403538.64,1667812.88,5938434.56,4489481.20,3123398.52,1663421.65,8087264.57,5479261.32,3936981.40,1976754.08,14046691.78,11448611.41,7754614.77,4305321.57,23199857.93,19640734.18,12289237.27,7350273.74,40183607.57,32018158.53,24753979.19,11301310.07,54493515.81,42028826.17,26857069.47,46621701.09,24246686.92,27987080.98,0.0
