,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,688233,神工股份,0.53,,,24.9,,6267.87,,,01-31
1,300819,聚杰微纤,0.69,,,,,5132.98,,,01-31
2,601696,中银证券,0.27,,,5.66,,66865.2,,,01-31
3,603949,雪龙集团,0.6,,,23.41,,6780.83,,,01-21
4,300817,双飞股份,,,,,,,,,01-20
5,300816,艾可蓝,0.9,,,33.74,,5410.87,,,01-15
6,002975,博杰股份,2.02,,,,,10329.74,,,01-14
7,603719,良品铺子,0.48,,,18.52,,17105.96,,,01-14
8,603893,瑞芯微,0.35,,,,,12980.78,,,01-10
9,603195,公牛集团,2.05,,,,,110553.89,,,01-07
10,688298,东方生物,0.53,,,,,4764.03,,,01-07
11,688159,有方科技,0.37,,,,,2360.25,,,01-06
12,300815,玉禾田,1.41,,,,,14643.25,,,01-06
13,688189,南新制药,,,,,,3112.21,,,01-03
14,688266,泽璟制药,,,,,,-9164.49,,,12-31
15,300813,泰林生物,0.72,-14.29,,,,2816.75,-13.61,,12-31
16,688158,优刻得,,,,,,6902.35,,,12-30
17,688085,三友医疗,,,,,,4383.43,,,12-27
18,603551,奥普家居,0.67,,,,,23948.64,,,12-24
19,688096,京源环保,,,,,,1576.93,,,12-18
20,300811,铂科新材,1.15,,,,,4959.99,,,12-17
21,002973,侨银环保,0.2,,,11.18,,7503.99,,,12-16
22,688086,紫晶存储,,,,,,2417.84,,,12-12
23,688090,瑞松科技,,,,,,4306.56,,,12-12
24,603109,神驰机电,0.96,,,19.54,,10570.66,,,12-10
25,688268,华特气体,,,,,,4404.54,,,12-04
26,601512,中新集团,0.57,,,10.89,,76750.09,,,12-03
27,002968,新大正,1.14,,,26.79,0.35,6119.24,,,12-02
28,300808,久量股份,0.54,,,12.52,0.24,6536.01,,,11-28
29,300801,泰和科技,1.52,,,22.66,1.5,13702.45,,,11-27
30,688037,芯源微,,,,,,,,,11-26
31,603053,成都燃气,,,,,,39551.37,,,11-25
32,688228,开普云,,,,,,2329.8,,,11-25
33,002970,锐明技术,0.9,,,17.65,,5850.0,,,11-25
34,688039,当虹科技,0.25,,,,,1478.94,,,11-22
35,300798,锦鸡股份,0.23,,,9.73,0.08,8489.86,,,11-21
36,688196,卓越新能,1.13,222.86,,17.4,1.1,10138.37,217.58,,11-20
37,688138,清溢光电,0.22,,,9.04,0.34,4429.47,,,11-19
38,300810,中科海讯,0.48,,,7.1,,2835.56,,,11-19
39,688198,佰仁医疗,0.6,,,23.96,,3684.07,,,11-19
40,688218,江苏北人,,,,,,3206.77,,,11-18
41,688208,道通科技,,,,,,26773.04,,,11-18
42,688111,金山办公,0.58,,,18.26,0.53,20966.96,,,11-15
43,300803,指南针,0.29,,,17.01,0.3,10068.36,,,11-15
44,688080,映翰通,,,,,,2962.64,,,11-15
45,688399,硕世生物,0.89,,,,,3933.78,,,11-15
46,688186,广大特材,,,,,,9008.25,,,11-14
47,688300,联瑞新材,0.69,,,20.62,0.28,4252.3,,,11-14
48,300796,贝斯美,0.54,,,9.13,0.62,4946.08,,,11-14
49,688101,三达膜,0.56,,,10.63,0.23,13918.02,,,11-14
50,688357,建龙微纳,1.03,,,,,3661.79,,,11-14
51,688258,卓易信息,,,,,,2461.06,,,11-14
52,688118,普元信息,-0.16,,,,,-1100.5,,,11-14
